pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
2-8,spearman,up_delta_loss,3,-0.6804126212572361,-1.0,0.7050244808197021,0.20572551091512045
2-8,spearman,down_delta_loss,3,-0.7598649100836197,-0.5,0.7050244808197021,0.33819746308856535
2-8,spearman,mean_abs_delta_loss,3,-0.858777283259866,-0.5,0.7050244808197021,0.2719614870018429
2-8,top1_agreement,up_delta_loss,3,0.064286237520304,-0.5,0.41531162161044977,0.20572551091512045
2-8,top1_agreement,down_delta_loss,3,-0.994496220142434,-1.0,0.41531162161044977,0.33819746308856535
2-8,top1_agreement,mean_abs_delta_loss,3,-0.962496255876238,-1.0,0.41531162161044977,0.2719614870018429
2-8,top_pair_overlap,up_delta_loss,3,0.1767238414818667,0.5,0.05458089668615984,0.20572551091512045
2-8,top_pair_overlap,down_delta_loss,3,0.9906271090456775,1.0,0.05458089668615984,0.33819746308856535
2-8,top_pair_overlap,mean_abs_delta_loss,3,0.9994637438270961,1.0,0.05458089668615984,0.2719614870018429
3-4,coactivation_cosine,up_delta_loss,3,0.08820491476014325,0.5,0.9741159369737011,-0.009182221044308289
3-4,coactivation_cosine,down_delta_loss,3,-0.9962874973191436,-1.0,0.9741159369737011,0.02885598322701834
3-4,coactivation_cosine,mean_abs_delta_loss,3,-0.9195700508284209,-1.0,0.9741159369737011,0.019019102135663313
3-4,nestedness,up_delta_loss,3,-0.09873109119206855,-0.5,0.6826266603284834,-0.009182221044308289
3-4,nestedness,down_delta_loss,3,0.9971419704892797,1.0,0.6826266603284834,0.02885598322701834
3-4,nestedness,mean_abs_delta_loss,3,0.9236727952993627,1.0,0.6826266603284834,0.019019102135663313
3-4,spearman,up_delta_loss,3,-0.46912083887213335,-0.5,0.7846036354700724,-0.009182221044308289
3-4,spearman,down_delta_loss,3,-0.7882663453522741,-0.5,0.7846036354700724,0.02885598322701834
3-4,spearman,mean_abs_delta_loss,3,-0.5566685593537706,-0.5,0.7846036354700724,0.019019102135663313
3-4,top1_agreement,up_delta_loss,3,0.3030133237327335,0.5,0.5367980634093915,-0.009182221044308289
3-4,top1_agreement,down_delta_loss,3,0.8858989930532057,0.5,0.5367980634093915,0.02885598322701834
3-4,top1_agreement,mean_abs_delta_loss,3,0.6967180342549104,0.5,0.5367980634093915,0.019019102135663313
3-4,top_pair_overlap,up_delta_loss,3,0.7392279995892348,0.5,0.23148148148148148,-0.009182221044308289
