seed,train_k,inference_k,checkpoint_step,task_id,task_name,num_tokens,validation_loss
0,4,4,0,4,code,4608,5.720533755090502
0,4,4,0,5,reasoning,4608,5.707507570584615
0,4,4,0,6,translation,4608,5.678405231899685
0,4,5,0,0,general_ko,4608,5.670493112670051
0,4,5,0,1,general_en,4608,5.719591935475667
0,4,5,0,2,math_ko,4608,5.701600591341655
0,4,5,0,3,math_en,4608,5.730306320720249
0,4,5,0,4,code,4608,5.723747160699633
0,4,5,0,5,reasoning,4608,5.710303889380561
0,4,5,0,6,translation,4608,5.68030940161811
0,4,6,0,0,general_ko,4608,5.671461184819539
0,4,6,0,1,general_en,4608,5.721741345193651
0,4,6,0,2,math_ko,4608,5.7008680899937945
0,4,6,0,3,math_en,4608,5.728590581152174
0,4,6,0,4,code,4608,5.72293417983585
0,4,6,0,5,reasoning,4608,5.710867895020379
0,4,6,0,6,translation,4608,5.683302468723721
0,4,7,0,0,general_ko,4608,5.673107862472534
0,4,7,0,1,general_en,4608,5.7223519749111595
0,4,7,0,2,math_ko,4608,5.701830996407403
0,4,7,0,3,math_en,4608,5.728105849689907
0,4,7,0,4,code,4608,5.721768922275967
0,4,7,0,5,reasoning,4608,5.709584010971917
0,4,7,0,6,translation,4608,5.684349338213603
0,4,8,0,0,general_ko,4608,5.673274172676934
0,4,8,0,1,general_en,4608,5.721874250306024
0,4,8,0,2,math_ko,4608,5.701538377337986
0,4,8,0,3,math_en,4608,5.727320432662964
0,4,8,0,4,code,4608,5.7210818661583795
0,4,8,0,5,reasoning,4608,5.710145658916897
0,4,8,0,6,translation,4608,5.684339072969225
0,4,1,1500,0,general_ko,4608,1.1307481080293655
0,4,1,1500,1,general_en,4608,1.5589186284277174
0,4,1,1500,2,math_ko,4608,1.0659495641787846
0,4,1,1500,3,math_en,4608,1.3076005942291684
0,4,1,1500,4,code,4608,1.5104819420311186
0,4,1,1500,5,reasoning,4608,1.1848785893784628
0,4,1,1500,6,translation,4608,1.46986043618785
0,4,2,1500,0,general_ko,4608,0.44342131167650223
0,4,2,1500,1,general_en,4608,0.6066585973733001
0,4,2,1500,2,math_ko,4608,0.39937324242459404
0,4,2,1500,3,math_en,4608,0.5785297171937095
0,4,2,1500,4,code,4608,0.5456737404068311
0,4,2,1500,5,reasoning,4608,0.4963647483123673
0,4,2,1500,6,translation,4608,0.4960080919166406
0,4,3,1500,0,general_ko,4608,0.38802171788281864
0,4,3,1500,1,general_en,4608,0.5111208723651038
0,4,3,1500,2,math_ko,4608,0.3337075412273407
0,4,3,1500,3,math_en,4608,0.4615231470929252
0,4,3,1500,4,code,4608,0.4575151205062866
0,4,3,1500,5,reasoning,4608,0.3728637107544475
0,4,3,1500,6,translation,4608,0.3680926449596882
0,4,4,1500,0,general_ko,4608,0.36548954538173145
0,4,4,1500,1,general_en,4608,0.49568017779125106
0,4,4,1500,2,math_ko,4608,0.3187059441374408
0,4,4,1500,3,math_en,4608,0.42575748016436893
0,4,4,1500,4,code,4608,0.41341348447733456
0,4,4,1500,5,reasoning,4608,0.33020769763324
0,4,4,1500,6,translation,4608,0.35045909095141625
0,4,5,1500,0,general_ko,4608,0.3551005046400759
0,4,5,1500,1,general_en,4608,0.48727809886137646
0,4,5,1500,2,math_ko,4608,0.31958551704883575
0,4,5,1500,3,math_en,4608,0.418116704457336
0,4,5,1500,4,code,4608,0.3917156652443939
0,4,5,1500,5,reasoning,4608,0.3364254418346617
0,4,5,1500,6,translation,4608,0.3392810991240872
0,4,6,1500,0,general_ko,4608,0.35580630807412994
0,4,6,1500,1,general_en,4608,0.5001658391621377
0,4,6,1500,2,math_ko,4608,0.3221953921020031
0,4,6,1500,3,math_en,4608,0.42568985455565983
0,4,6,1500,4,code,4608,0.3847802115811242
0,4,6,1500,5,reasoning,4608,0.3439819866584407
0,4,6,1500,6,translation,4608,0.3427717602915234
0,4,7,1500,0,general_ko,4608,0.3682593136197991
0,4,7,1500,1,general_en,4608,0.5145491237441698
0,4,7,1500,2,math_ko,4608,0.33308161050081253
0,4,7,1500,3,math_en,4608,0.44158854625291294
0,4,7,1500,4,code,4608,0.4007295055521859
0,4,7,1500,5,reasoning,4608,0.365791492164135
0,4,7,1500,6,translation,4608,0.3649676338666015
0,4,8,1500,0,general_ko,4608,0.3772057373490598
0,4,8,1500,1,general_en,4608,0.5417824875977304
0,4,8,1500,2,math_ko,4608,0.3444848524199592
0,4,8,1500,3,math_en,4608,0.4563771602180269
0,4,8,1500,4,code,4608,0.41721634111470646
0,4,8,1500,5,reasoning,4608,0.3941166301568349
0,4,8,1500,6,translation,4608,0.39441440130273503
0,5,1,0,0,general_ko,4608,5.679443187183804
0,5,1,0,1,general_en,4608,5.720122456550598
0,5,1,0,2,math_ko,4608,5.69287923971812
