seed,host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss
0,1,8,single_layer,1,1.0173006511869884,0.9527201879592169,0.06458046322777156
0,1,8,single_layer,2,1.0087074098132907,0.9527201879592169,0.05598722185407379
0,1,8,single_layer,3,0.9838525681268602,0.9527201879592169,0.031132380167643303
0,1,8,single_layer,4,0.9741592407226562,0.9527201879592169,0.02143905276343938
0,1,8,single_layer,5,0.9899915967668805,0.9527201879592169,0.037271408807663664
0,1,8,single_layer,6,0.9736533392043341,0.9527201879592169,0.020933151245117188
0,1,8,single_layer,7,0.9647541046142578,0.9527201879592169,0.012033916655040944
0,2,1,all_layers,-1,1.2184617178780692,0.8123446873256138,0.4061170305524554
0,2,1,single_layer,0,0.9565889267694383,0.8123446873256138,0.14424423944382447
0,2,1,single_layer,1,0.8639551798502604,0.8123446873256138,0.051610492524646556
0,2,1,single_layer,2,0.8358733767554873,0.8123446873256138,0.023528689429873517
0,2,1,single_layer,3,0.8299077351888021,0.8123446873256138,0.017563047863188297
0,2,1,single_layer,4,0.8554657527378627,0.8123446873256138,0.043121065412248916
0,2,1,single_layer,5,0.8325864701043992,0.8123446873256138,0.02024178277878541
0,2,1,single_layer,6,0.8219512757800874,0.8123446873256138,0.009606588454473597
0,2,1,single_layer,7,0.8030264718191964,0.8123446873256138,-0.009318215506417427
0,2,2,all_layers,-1,0.8123446873256138,0.8123446873256138,0.0
0,2,2,single_layer,0,0.8123446873256138,0.8123446873256138,0.0
0,2,2,single_layer,1,0.8123446873256138,0.8123446873256138,0.0
0,2,2,single_layer,2,0.8123446873256138,0.8123446873256138,0.0
0,2,2,single_layer,3,0.8123446873256138,0.8123446873256138,0.0
0,2,2,single_layer,4,0.8123446873256138,0.8123446873256138,0.0
0,2,2,single_layer,5,0.8123446873256138,0.8123446873256138,0.0
0,2,2,single_layer,6,0.8123446873256138,0.8123446873256138,0.0
0,2,2,single_layer,7,0.8123446873256138,0.8123446873256138,0.0
0,2,3,all_layers,-1,0.8525121779668898,0.8123446873256138,0.040167490641276005
0,2,3,single_layer,0,0.8223965054466611,0.8123446873256138,0.010051818121047273
0,2,3,single_layer,1,0.8247349148704892,0.8123446873256138,0.012390227544875398
0,2,3,single_layer,2,0.8335040864490327,0.8123446873256138,0.02115939912341891
0,2,3,single_layer,3,0.8344369615827288,0.8123446873256138,0.02209227425711502
0,2,3,single_layer,4,0.8135919116792225,0.8123446873256138,0.001247224353608689
0,2,3,single_layer,5,0.807515371413458,0.8123446873256138,-0.0048293159121558515
0,2,3,single_layer,6,0.8285499754406157,0.8123446873256138,0.01620528811500188
0,2,3,single_layer,7,0.819962637765067,0.8123446873256138,0.007617950439453125
0,2,4,all_layers,-1,0.9107725960867745,0.8123446873256138,0.0984279087611607
0,2,4,single_layer,0,0.8456046694800967,0.8123446873256138,0.03325998215448289
0,2,4,single_layer,1,0.8250123886835008,0.8123446873256138,0.012667701357886973
0,2,4,single_layer,2,0.8153281438918341,0.8123446873256138,0.002983456566220233
0,2,4,single_layer,3,0.8171061561221168,0.8123446873256138,0.004761468796502966
0,2,4,single_layer,4,0.8243048531668526,0.8123446873256138,0.011960165841238823
0,2,4,single_layer,5,0.8124089922223773,0.8123446873256138,6.43048967634563e-05
0,2,4,single_layer,6,0.8311663128080822,0.8123446873256138,0.01882162548246835
0,2,4,single_layer,7,0.8288870311918712,0.8123446873256138,0.016542343866257414
0,2,5,all_layers,-1,0.904174078078497,0.8123446873256138,0.09182939075288321
0,2,5,single_layer,0,0.8414643605550131,0.8123446873256138,0.029119673229399234
0,2,5,single_layer,1,0.824507304600307,0.8123446873256138,0.012162617274693144
0,2,5,single_layer,2,0.8218213035946801,0.8123446873256138,0.009476616269066263
0,2,5,single_layer,3,0.8107157207670665,0.8123446873256138,-0.0016289665585472735
0,2,5,single_layer,4,0.8160960787818545,0.8123446873256138,0.0037513914562407047
0,2,5,single_layer,5,0.821440651303246,0.8123446873256138,0.009095963977632127
0,2,5,single_layer,6,0.8279929388137091,0.8123446873256138,0.015648251488095233
0,2,5,single_layer,7,0.8179052443731398,0.8123446873256138,0.005560557047526005
0,2,6,all_layers,-1,0.9229845319475446,0.8123446873256138,0.11063984462193077
0,2,6,single_layer,0,0.8377682822091239,0.8123446873256138,0.025423594883510092
0,2,6,single_layer,1,0.8342483157203311,0.8123446873256138,0.021903628394717267
0,2,6,single_layer,2,0.8244529905773345,0.8123446873256138,0.012108303251720631
0,2,6,single_layer,3,0.811042967296782,0.8123446873256138,-0.0013017200288317765
0,2,6,single_layer,4,0.8221290225074405,0.8123446873256138,0.009784335181826642
0,2,6,single_layer,5,0.8292770385742188,0.8123446873256138,0.016932351248604927
0,2,6,single_layer,6,0.820896966116769,0.8123446873256138,0.008552278791155166
0,2,6,single_layer,7,0.8265672411237445,0.8123446873256138,0.014222553798130644
0,2,7,all_layers,-1,0.9723984854561942,0.8123446873256138,0.1600537981305804
0,2,7,single_layer,0,0.8687575204031808,0.8123446873256138,0.05641283307756695
0,2,7,single_layer,1,0.845264162336077,0.8123446873256138,0.03291947501046322
0,2,7,single_layer,2,0.8193519228980655,0.8123446873256138,0.007007235572451642
0,2,7,single_layer,3,0.8128670283726284,0.8123446873256138,0.0005223410470145406
0,2,7,single_layer,4,0.8105425153459821,0.8123446873256138,-0.0018021719796317281
0,2,7,single_layer,5,0.8133254278273809,0.8123446873256138,0.0009807405017671078
0,2,7,single_layer,6,0.8322128114246187,0.8123446873256138,0.019868124099004847
0,2,7,single_layer,7,0.8260814121791294,0.8123446873256138,0.013736724853515625
0,2,8,all_layers,-1,0.9328582400367373,0.8123446873256138,0.12051355271112352
0,2,8,single_layer,0,0.8506209963843936,0.8123446873256138,0.03827630905877977
0,2,8,single_layer,1,0.8248623439243862,0.8123446873256138,0.012517656598772353
0,2,8,single_layer,2,0.8334366934640067,0.8123446873256138,0.021092006138392905
0,2,8,single_layer,3,0.8127483186267671,0.8123446873256138,0.0004036313011532844
0,2,8,single_layer,4,0.8177290416899181,0.8123446873256138,0.005384354364304289
