pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_seeds
2-7,7,0.5517704467924814,0.1474174369895269,0.40435301500653464,0.2659043659944181,0.734095643606695,0.1057317443783321,0.3626673240510245,0.039246344258860935,9.239311256105937e-13,3
2-8,0,0.038669771145260524,0.03160642560512301,0.007063346515808786,0.8168120747516453,0.18318794967110907,0.030883585058507468,0.006340505895278757,0.00024859178885226215,0.0,3
2-8,1,0.0967421815508888,0.0342766869635809,0.06246549624299246,0.35441467542246885,0.6455853415685979,0.028490925473826274,0.056679733452342805,0.0022982856303098657,5.774569535066211e-14,3
2-8,2,0.18223217366233704,0.04390075223313437,0.13833142651451957,0.24063661561867353,0.7593634125884141,0.031258544751576016,0.12568921796859256,0.006495158409788495,0.0,3
2-8,3,0.27910211351182723,0.05556908107939221,0.22353303905517338,0.19913359090599836,0.800866432829574,0.03618945429722468,0.20415340245716154,0.012149915099143982,5.774569535066211e-14,3
2-8,4,0.3685778606505621,0.07103566707126678,0.29754220020203365,0.19276010162133153,0.8072399163725693,0.04501632589196402,0.2715228521634662,0.01955147217663508,1.7323708605198632e-13,3
2-8,5,0.46124966182405985,0.0872907688220342,0.3739589036457122,0.18906225865176562,0.8109377643450961,0.053681259827008325,0.3403493941776336,0.025667557522418005,1.1549139070132421e-13,3
2-8,6,0.5389145026131281,0.12356392447910612,0.41535059043339323,0.2290252475387259,0.7709747749846926,0.08666679334072841,0.3784534590584891,0.037566702280725756,6.929483442079453e-13,3
2-8,7,0.5686897966596816,0.16200357486331274,0.40668623031131806,0.28341591148806494,0.716584103078465,0.11628696890104384,0.36096962482210193,0.04240616777586559,1.3281509930652287e-12,3
3-4,0,0.022586155209749464,0.017767672737439472,0.004818483107974605,0.7858925297470849,0.2141074984858828,0.016935517863621786,0.0039863285741635725,7.353123926025417e-05,0.0,3
3-4,1,0.06027589288968888,0.018857066829999287,0.04141882688753188,0.31274167944614045,0.6872583349462028,0.014670353915010181,0.03723211432733233,0.0007426904861830056,0.0,3
3-4,2,0.12076197540949261,0.023759525387533124,0.09700245280114432,0.19668760413543598,0.8033124174368845,0.01622261331667976,0.0894655388972116,0.0023876644212693448,0.0,3
3-4,3,0.2020916456267947,0.03306792522706683,0.1690237252485184,0.16354777171557489,0.8364522522942465,0.02086649823283392,0.1568222949429164,0.005260609992084996,0.0,3
3-4,4,0.2744188100572616,0.043223272358614305,0.23119554349354335,0.15684252356317163,0.8431574973179058,0.02526521280644432,0.2132374786195301,0.007988182650435537,5.774569535066211e-14,3
3-4,5,0.33160216183889485,0.046015575291618475,0.28558659837359474,0.1384553081769616,0.8615447274797349,0.02691232022785005,0.26648334094456266,0.009866443980071278,0.0,3
3-4,6,0.3732955294942099,0.05258763711603861,0.32070790302185787,0.14110601298434658,0.8588940150234533,0.03230002486989612,0.30042028332513476,0.012416372696558634,0.0,3
3-4,7,0.3945618262366643,0.06579390475674281,0.3287679325966608,0.1668073244163927,0.8331927038488861,0.04556023636980663,0.30853425415735397,0.015196849843339315,5.774569535066211e-14,3
3-5,0,0.02537776624399518,0.02049018330280743,0.004887583517720776,0.8070449929844804,0.19295502973230874,0.019698102795888506,0.004095503336025609,9.498532883645524e-05,0.0,3
3-5,1,0.06164049534570604,0.021192533451886403,0.04044796278079351,0.34371542367526436,0.6562845908232212,0.017367309402851833,0.0366227381995746,0.0008831089842946284,0.0,3
3-5,2,0.12491717083113534,0.025893828225514243,0.09902334284214746,0.20618094403312737,0.7938190583024046,0.01833286432046739,0.09146237822752151,0.00272386230617052,5.774569535066211e-14,3
3-5,3,0.21026226263197642,0.03615875258332207,0.17410351785402448,0.17184728381624104,0.8281527531307025,0.02327939288483726,0.1612241528336964,0.005929199505656485,0.0,3
3-5,4,0.28382805131730576,0.04550129967549491,0.2383267624037606,0.16023042548316785,0.8397696125960573,0.027303862311537305,0.2201293195996966,0.009286027046896163,0.0,3
3-5,5,0.35993932447736227,0.05232470234235128,0.3076146273385911,0.14488557867634996,0.8551144358781063,0.030430291261937886,0.28572021495728267,0.011660851153825957,0.0,3
3-5,6,0.40384944658430794,0.06476190118562607,0.33908755722500034,0.16050052697516895,0.8394995018445747,0.040668426879814694,0.31499407688776654,0.016172315807096542,0.0,3
3-5,7,0.41536994585915216,0.07881047422923738,0.3365594829831804,0.1898743445432889,0.8101256833159792,0.05586134890715281,0.31361035127488396,0.018510199137150296,1.1549139070132421e-13,3
3-6,0,0.028924272883506047,0.023545949468536984,0.005378324242811355,0.8140969517012294,0.18590307544889095,0.022480312320921157,0.004312687538682468,0.00011557620942651752,0.0,3
3-6,1,0.06887104728865245,0.024843637077581315,0.04402741092065024,0.3606635462055156,0.6393364639172748,0.020003604096552684,0.03918737740743728,0.001067055363415016,0.0,3
3-6,2,0.13324712618948922,0.02902529956329437,0.10422183123845902,0.21729427183583958,0.7827057628688389,0.020780196738621543,0.09597672663983846,0.003241569735109806,5.774569535066211e-14,3
3-6,3,0.22139020098580256,0.0395424919469016,0.18184771660774476,0.17872140118719235,0.8212786328361363,0.02612647248639001,0.16843169218017942,0.007083129256017624,0.0,3
3-6,4,0.2983078218641735,0.05089961323473189,0.24740821690786452,0.1704821201938956,0.8295179075842194,0.03164206492522407,0.22815065913730195,0.011398841848685629,0.0,3
3-6,5,0.3842288586828444,0.06046341123088957,0.3237654576225886,0.15694384045892132,0.843056185577149,0.03545590892197594,0.2987579485726735,0.013979228183863655,2.3098278140264843e-13,3
3-6,6,0.42942853768666583,0.07251003881295522,0.35691850715213347,0.16891727275012033,0.8310827457843507,0.046594321018173575,0.3310027822615608,0.01855837967660692,0.0,3
3-6,7,0.4640735917621189,0.10231618464939178,0.3617574146815709,0.21945475462612296,0.7805452618029521,0.07385046165140847,0.33329169050095575,0.023866051719302225,2.3098278140264843e-13,3
