seed,pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_values
0,2-8,1,0.09851058749925523,0.03427159183082126,0.06423899815196082,0.34789754787606325,0.6521024773346975,0.028371129007566543,0.058338536393074764,0.0022448980515556677,0.0,172032
0,2-8,2,0.17587577728998094,0.0394124761223793,0.13646330719902403,0.22409269047548655,0.7759073438181637,0.02788476078283219,0.12493559150468736,0.00603602294410978,0.0,172032
0,2-8,3,0.27902792465119136,0.054521843791007996,0.22450608298892066,0.19539923776147114,0.8046007698676481,0.03466545506602242,0.20464967829840525,0.011939346080734617,0.0,172032
0,2-8,4,0.36894720508938744,0.07147087724435897,0.29747633990787326,0.19371573021414598,0.8062843024811682,0.04557627865246364,0.2715817292531331,0.019798392518645243,1.7323708605198632e-13,172032
0,2-8,5,0.4452646005721319,0.07838346844627744,0.3668811378024873,0.17603795214252496,0.8239620606063728,0.04623707916055407,0.33473475206465947,0.024093668730486007,1.7323708605198632e-13,172032
0,2-8,6,0.5715783607392084,0.13257835450626554,0.43900002184368314,0.23195131868674168,0.7680487086248945,0.08861935990197319,0.39504103433518184,0.039639415130728765,8.661854302599316e-13,172032
0,2-8,7,0.5323059218270438,0.13349348732403346,0.39881244727543425,0.25078339700945124,0.7492166269850664,0.09702419241269429,0.3623431438491458,0.03757932640257336,5.19711258155959e-13,172032
0,3-4,0,0.020940634998537246,0.015939847521838687,0.005000787875836804,0.7611921760229393,0.2388078430375259,0.015378574707678385,0.004439515416466054,8.166974086114871e-05,0.0,172032
0,3-4,1,0.05827017838046664,0.018254300490731283,0.040015878776709236,0.31327002933717635,0.68672998588457,0.014119367514337813,0.0358809470420792,0.0006865283163885275,0.0,172032
0,3-4,2,0.11382626777603513,0.021421776108798526,0.09240449326378959,0.18819712292551022,0.811802891100716,0.015285531679789225,0.08626824972175416,0.002230134127395494,0.0,172032
0,3-4,3,0.1970494304384504,0.032134127404008596,0.16491530764670598,0.16307647950317666,0.8369235439034587,0.020100867641823634,0.1528820466427576,0.005223903450227919,0.0,172032
0,3-4,4,0.2565690080324809,0.03815024807339623,0.2184187656357175,0.1486939064306883,0.8513061156944813,0.022443009983925594,0.20271152257919312,0.007695215709862255,0.0,172032
0,3-4,5,0.32237766470227924,0.043198904111271814,0.2791787698155358,0.1340009214074017,0.8659991072066413,0.024511840726648058,0.26049170039948966,0.00930861561071305,0.0,172032
0,3-4,6,0.36436845858891803,0.05464789839017959,0.30972055877958027,0.1499797721290513,0.8500202239761051,0.034329136922245936,0.28940179518290926,0.01273249001020477,0.0,172032
0,3-4,7,0.38089678968702045,0.0659597118695577,0.31493708917072843,0.17316951377761994,0.8268305160290521,0.045569240337326414,0.2945466155097598,0.014676452924807867,0.0,172032
0,3-5,0,0.024769467257318042,0.019255723626840682,0.005513744207010383,0.7773975688214148,0.22260245445454097,0.018558835876839503,0.004816856412660508,0.00011257426064860608,0.0,172032
0,3-5,1,0.062293748770441325,0.020811297176849274,0.041482451416197275,0.33408323608105495,0.6659167610712311,0.017106956314472926,0.03777811037642615,0.0008709061159087079,0.0,172032
0,3-5,2,0.122530901715869,0.025254117591040477,0.09727678483440763,0.20610407038055617,0.7938959354104654,0.017956324986049106,0.08997899081025805,0.0027067119787846294,0.0,172032
0,3-5,3,0.20419269516354516,0.033973485231399536,0.17021921418962024,0.166379532843665,0.8336204880066138,0.021946969131628673,0.15819269702548072,0.0058239177756366275,0.0,172032
0,3-5,4,0.2909611321630932,0.04829305268469311,0.24266808657419114,0.16597767655654871,0.8340223478308703,0.028997235709712618,0.22337226356778825,0.01021837629377842,0.0,172032
0,3-5,5,0.3474530577659607,0.049490622111729214,0.2979624413308643,0.14243829779464878,0.8575617185431923,0.028078153019859678,0.2765499722389948,0.011618574282952718,0.0,172032
0,3-5,6,0.4037426199231829,0.06473522030171894,0.33900741168430876,0.16033784175184584,0.8396621881257152,0.0397332048132306,0.314005400453295,0.017117489661489214,0.0,172032
0,3-5,7,0.40194142432439894,0.08023733184451148,0.32170411234810237,0.1996244402511584,0.8003756091794644,0.05682151232446943,0.29828828289395287,0.019374036717982518,1.7323708605198632e-13,172032
0,3-6,0,0.02618348208211717,0.021306543123154414,0.004876938737219288,0.81373986303015,0.18626012850101958,0.02071736752986908,0.004287763099585261,0.00010663437396509661,0.0,172032
0,3-6,1,0.0672608230795179,0.024846944425787245,0.04241388042767843,0.36941184017942197,0.6305881861947389,0.020327399174372356,0.037894333757105325,0.0009846694412685576,0.0,172032
0,3-6,2,0.12385653030304682,0.026214955463295893,0.097641578742436,0.21165581983569434,0.7883442116740296,0.01877713930748758,0.09020375708738963,0.002856113903579258,0.0,172032
0,3-6,3,0.2146321279661996,0.039220321036520456,0.17541181189673288,0.18273275957407875,0.8172672635680938,0.02676066578853698,0.1629521463598524,0.007098786444181488,0.0,172032
0,3-6,4,0.2949369634900774,0.050193380032266886,0.24474359126318068,0.1701834162741543,0.8298166101903827,0.03096157205956323,0.22551177796863375,0.011437954292410896,0.0,172032
0,3-6,5,0.3783310850461324,0.056656766505468456,0.3216743213789804,0.14975445778810356,0.850245549714099,0.03164981128204437,0.2966673629624503,0.01335276308513823,0.0,172032
0,3-6,6,0.4092023770014445,0.0701160246417636,0.3390863566171555,0.17134803848296337,0.8286519719213619,0.045634448528289795,0.31460477340789067,0.019666520612580434,0.0,172032
0,3-6,7,0.43780861014411565,0.09428901757512774,0.3435196081797282,0.21536583655604707,0.7846341991004931,0.06820844752447945,0.31743902819497244,0.022482377432641528,0.0,172032
0,3-7,0,0.02751505020118895,0.02228004520847684,0.0052350059683833805,0.8097403074159791,0.1902597280435698,0.02174111810468492,0.004696079308078403,0.000129396582321663,0.0,172032
0,3-7,1,0.07174518065793174,0.02727441525175458,0.04447076824449357,0.3801567575917627,0.6198432819693114,0.022467179312592463,0.039663532305331456,0.0011516016287108262,0.0,172032
0,3-7,2,0.13114434196835473,0.030532411876178923,0.10061193789754595,0.23281531950151862,0.7671847400158806,0.022289261931464785,0.09236878227619898,0.003570264027941795,0.0,172032
0,3-7,3,0.21915760778245472,0.04199377766677311,0.17716383082526072,0.19161451017688577,0.8083854930608714,0.02811989826815469,0.16328994858832585,0.007341039322671436,0.0,172032
0,3-7,4,0.31122965755916776,0.05659336916037968,0.25463630188079106,0.1818379700836214,0.818162073234882,0.03634750062511081,0.23439042624973117,0.012665005489474251,0.0,172032
0,3-7,5,0.4030412378765288,0.0661659510362716,0.3368752882594154,0.16416670260560648,0.8358333009155176,0.036987511529808954,0.3076968476885841,0.0153556370309421,0.0,172032
0,3-7,6,0.44863741738455637,0.09078439786320641,0.35785303229377385,0.20235583200450974,0.7976441964648586,0.058535603540284295,0.3256042315846398,0.024474205005736577,3.4647417210397264e-13,172032
0,3-7,7,0.462654777935573,0.1026716303257715,0.3599831660588582,0.22191844810055986,0.7780815917759476,0.07040297701245263,0.3277144857815334,0.02469501466978164,0.0,172032
0,3-8,0,0.032072082871482485,0.025890620336646124,0.006181463244415465,0.8072634521553719,0.19273656996913766,0.025107527063006445,0.005398369837729703,0.0001594533026772773,0.0,172032
