host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss,num_seeds
2,7,single_layer,7,0.9308033292255704,0.9049014136904763,0.025901915535094244,3
2,8,all_layers,-1,1.0608814178951202,0.9049014136904763,0.15598000420464406,3
2,8,single_layer,0,0.9551287454272073,0.9049014136904763,0.05022733173673111,3
2,8,single_layer,1,0.9211644066704645,0.9049014136904763,0.016262992979988195,3
2,8,single_layer,2,0.9145793006533668,0.9049014136904763,0.009677886962890625,3
2,8,single_layer,3,0.9117238483731708,0.9049014136904763,0.006822434682694685,3
2,8,single_layer,4,0.9145869905986483,0.9049014136904763,0.009685576908172103,3
2,8,single_layer,5,0.9232662443130736,0.9049014136904763,0.018364830622597344,3
2,8,single_layer,6,0.9210812402149987,0.9049014136904763,0.016179826524522545,3
2,8,single_layer,7,0.9291986737932477,0.9049014136904763,0.024297260102771556,3
3,1,all_layers,-1,1.032007308233352,0.8557762569851346,0.1762310512482174,3
3,1,single_layer,0,0.8706596919468471,0.8557762569851346,0.01488343496171259,3
3,1,single_layer,1,0.8775212424142019,0.8557762569851346,0.02174498542906748,3
3,1,single_layer,2,0.874512687562004,0.8557762569851346,0.01873643057686943,3
3,1,single_layer,3,0.8599905589270213,0.8557762569851346,0.004214301941886804,3
3,1,single_layer,4,0.8846429491799975,0.8557762569851346,0.02886669219486297,3
3,1,single_layer,5,0.866810783507332,0.8557762569851346,0.011034526522197422,3
3,1,single_layer,6,0.8516585032145182,0.8557762569851346,-0.0041177537706162575,3
3,1,single_layer,7,0.8343661474803138,0.8557762569851346,-0.021410109504820807,3
3,2,all_layers,-1,0.8500000484406002,0.8557762569851346,-0.005776208544534349,3
3,2,single_layer,0,0.8654063088553293,0.8557762569851346,0.009630051870194722,3
3,2,single_layer,1,0.8495233323838977,0.8557762569851346,-0.006252924601236942,3
3,2,single_layer,2,0.8517654661148314,0.8557762569851346,-0.004010790870303205,3
3,2,single_layer,3,0.8556943318200491,0.8557762569851346,-8.192516508553904e-05,3
3,2,single_layer,4,0.8592576526460194,0.8557762569851346,0.0034813956608848264,3
3,2,single_layer,5,0.8560996282668341,0.8557762569851346,0.0003233712816995323,3
3,2,single_layer,6,0.8535866510300408,0.8557762569851346,-0.0021896059550936173,3
3,2,single_layer,7,0.8484144362192305,0.8557762569851346,-0.007361820765904008,3
3,3,all_layers,-1,0.8557762569851346,0.8557762569851346,0.0,3
3,3,single_layer,0,0.8557762569851346,0.8557762569851346,0.0,3
3,3,single_layer,1,0.8557762569851346,0.8557762569851346,0.0,3
3,3,single_layer,2,0.8557762569851346,0.8557762569851346,0.0,3
3,3,single_layer,3,0.8557762569851346,0.8557762569851346,0.0,3
3,3,single_layer,4,0.8557762569851346,0.8557762569851346,0.0,3
3,3,single_layer,5,0.8557762569851346,0.8557762569851346,0.0,3
3,3,single_layer,6,0.8557762569851346,0.8557762569851346,0.0,3
3,3,single_layer,7,0.8557762569851346,0.8557762569851346,0.0,3
3,4,all_layers,-1,0.8370084611196367,0.8557762569851346,-0.018767795865497854,3
3,4,single_layer,0,0.8607896169026693,0.8557762569851346,0.005013359917534747,3
3,4,single_layer,1,0.8456312209840805,0.8557762569851346,-0.010145036001054023,3
3,4,single_layer,2,0.8542310321141803,0.8557762569851346,-0.0015452248709542094,3
3,4,single_layer,3,0.8470897069053045,0.8557762569851346,-0.008686550079830102,3
3,4,single_layer,4,0.8495731051006015,0.8557762569851346,-0.006203151884533094,3
3,4,single_layer,5,0.8599845341273716,0.8557762569851346,0.004208277142237149,3
3,4,single_layer,6,0.8527167486766029,0.8557762569851346,-0.0030595083085317443,3
3,4,single_layer,7,0.8571675012982082,0.8557762569851346,0.0013912443130735808,3
