seed,pair,layer_id,component,metric_name,value,num_records
0,1-3,1,router_on_hidden_b,top1_agreement,0.5139508971146175,5376
0,1-3,1,total,nestedness,0.5890997307641166,5376
0,1-3,1,total,spearman,0.7088650124413627,5376
0,1-3,1,total,top1_agreement,0.30859375851494925,5376
0,1-3,2,representation_with_router_a,nestedness,0.30505953090531485,5376
0,1-3,2,representation_with_router_a,spearman,0.7059247323444912,5376
0,1-3,2,representation_with_router_a,top1_agreement,0.30505953090531485,5376
0,1-3,2,representation_with_router_b,nestedness,0.49826389125415255,5376
0,1-3,2,representation_with_router_b,spearman,0.719719912324633,5376
0,1-3,2,representation_with_router_b,top1_agreement,0.371279776096344,5376
0,1-3,2,router_on_hidden_a,nestedness,0.7779018027441842,5376
0,1-3,2,router_on_hidden_a,spearman,0.8410013573510307,5376
0,1-3,2,router_on_hidden_a,top1_agreement,0.46707590562956675,5376
0,1-3,2,router_on_hidden_b,nestedness,0.8504464456013271,5376
0,1-3,2,router_on_hidden_b,spearman,0.8559475796563285,5376
0,1-3,2,router_on_hidden_b,top1_agreement,0.5738467574119568,5376
0,1-3,2,total,nestedness,0.47116816895348684,5376
0,1-3,2,total,spearman,0.6034824422427586,5376
0,1-3,2,total,top1_agreement,0.21986607781478337,5376
0,1-3,3,representation_with_router_a,nestedness,0.26822917589119505,5376
0,1-3,3,representation_with_router_a,spearman,0.6230419192995343,5376
0,1-3,3,representation_with_router_a,top1_agreement,0.26822917589119505,5376
0,1-3,3,representation_with_router_b,nestedness,0.44295634967940195,5376
0,1-3,3,representation_with_router_b,spearman,0.6458862849644252,5376
0,1-3,3,representation_with_router_b,top1_agreement,0.3188244104385376,5376
0,1-3,3,router_on_hidden_a,nestedness,0.7202381065913609,5376
0,1-3,3,router_on_hidden_a,spearman,0.7936338101114545,5376
0,1-3,3,router_on_hidden_a,top1_agreement,0.4071800708770752,5376
0,1-3,3,router_on_hidden_b,nestedness,0.8271949461528233,5376
0,1-3,3,router_on_hidden_b,spearman,0.8254275577408927,5376
0,1-3,3,router_on_hidden_b,top1_agreement,0.5574777041162763,5376
0,1-3,3,total,nestedness,0.38820686084883554,5376
0,1-3,3,total,spearman,0.495684095791408,5376
0,1-3,3,total,top1_agreement,0.18396577664784022,5376
0,1-3,4,representation_with_router_a,nestedness,0.19717262472425187,5376
0,1-3,4,representation_with_router_a,spearman,0.5451180594308036,5376
0,1-3,4,representation_with_router_a,top1_agreement,0.19717262472425187,5376
0,1-3,4,representation_with_router_b,nestedness,0.4208829402923584,5376
0,1-3,4,representation_with_router_b,spearman,0.5932159338678632,5376
0,1-3,4,representation_with_router_b,top1_agreement,0.34319197280066355,5376
0,1-3,4,router_on_hidden_a,nestedness,0.6871279903820583,5376
0,1-3,4,router_on_hidden_a,spearman,0.7761657323156085,5376
0,1-3,4,router_on_hidden_a,top1_agreement,0.38374256661960054,5376
0,1-3,4,router_on_hidden_b,nestedness,0.8521205697740827,5376
0,1-3,4,router_on_hidden_b,spearman,0.8302348341260638,5376
0,1-3,4,router_on_hidden_b,top1_agreement,0.5866815618106297,5376
0,1-3,4,total,nestedness,0.3417038789817265,5376
0,1-3,4,total,spearman,0.43400164587157114,5376
0,1-3,4,total,top1_agreement,0.1551339328289032,5376
0,1-3,5,representation_with_router_a,nestedness,0.19940476758139475,5376
0,1-3,5,representation_with_router_a,spearman,0.49528602617127554,5376
0,1-3,5,representation_with_router_a,top1_agreement,0.19940476758139475,5376
0,1-3,5,representation_with_router_b,nestedness,0.40407986300332205,5376
0,1-3,5,representation_with_router_b,spearman,0.5675421782902309,5376
0,1-3,5,representation_with_router_b,top1_agreement,0.326264888048172,5376
0,1-3,5,router_on_hidden_a,nestedness,0.6750372222491673,5376
0,1-3,5,router_on_hidden_a,spearman,0.7616502387183053,5376
0,1-3,5,router_on_hidden_a,top1_agreement,0.37946429422923494,5376
0,1-3,5,router_on_hidden_b,nestedness,0.8746279988970075,5376
0,1-3,5,router_on_hidden_b,spearman,0.8239640934126717,5376
0,1-3,5,router_on_hidden_b,top1_agreement,0.6300223384584699,5376
0,1-3,5,total,nestedness,0.35007441469601225,5376
0,1-3,5,total,spearman,0.3968330792018345,5376
0,1-3,5,total,top1_agreement,0.15941220947674342,5376
0,1-3,6,representation_with_router_a,nestedness,0.15048363591943467,5376
0,1-3,6,representation_with_router_a,spearman,0.47209467206682476,5376
0,1-3,6,representation_with_router_a,top1_agreement,0.15048363591943467,5376
0,1-3,6,representation_with_router_b,nestedness,0.4244171679019928,5376
0,1-3,6,representation_with_router_b,spearman,0.5724530901227679,5376
0,1-3,6,representation_with_router_b,top1_agreement,0.3528645932674408,5376
0,1-3,6,router_on_hidden_a,nestedness,0.6380208560398647,5376
0,1-3,6,router_on_hidden_a,spearman,0.7581879496574402,5376
0,1-3,6,router_on_hidden_a,top1_agreement,0.3409598342009953,5376
0,1-3,6,router_on_hidden_b,nestedness,0.8848586508205959,5376
0,1-3,6,router_on_hidden_b,spearman,0.8388904929161072,5376
0,1-3,6,router_on_hidden_b,top1_agreement,0.6668526870863778,5376
0,1-3,6,total,nestedness,0.3024553635290691,5376
0,1-3,6,total,spearman,0.4002847501209804,5376
0,1-3,6,total,top1_agreement,0.12946428997176035,5376
0,1-3,7,representation_with_router_a,nestedness,0.21465774306229182,5376
0,1-3,7,representation_with_router_a,spearman,0.5257799284798759,5376
0,1-3,7,representation_with_router_a,top1_agreement,0.21465774306229182,5376
0,1-3,7,representation_with_router_b,nestedness,0.4637896844318935,5376
0,1-3,7,representation_with_router_b,spearman,0.626798152923584,5376
0,1-3,7,representation_with_router_b,top1_agreement,0.44438245041029795,5376
0,1-3,7,router_on_hidden_a,nestedness,0.7198660799435207,5376
0,1-3,7,router_on_hidden_a,spearman,0.7966435977390834,5376
0,1-3,7,router_on_hidden_a,top1_agreement,0.4118303656578064,5376
0,1-3,7,router_on_hidden_b,nestedness,0.8900669898305621,5376
0,1-3,7,router_on_hidden_b,spearman,0.853852893624987,5376
0,1-3,7,router_on_hidden_b,top1_agreement,0.6588541865348816,5376
0,1-3,7,total,nestedness,0.39267114230564665,5376
0,1-3,7,total,spearman,0.4539023978369577,5376
0,1-3,7,total,top1_agreement,0.216889888048172,5376
0,1-4,0,representation_with_router_a,nestedness,0.7885044898305621,5376
0,1-4,0,representation_with_router_a,spearman,0.9693486179624285,5376
0,1-4,0,representation_with_router_a,top1_agreement,0.7885044898305621,5376
0,1-4,0,representation_with_router_b,nestedness,0.8609096237591335,5376
0,1-4,0,representation_with_router_b,spearman,0.9672351905277797,5376
0,1-4,0,representation_with_router_b,top1_agreement,0.8177083475249154,5376
