pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-4,spearman,down_delta_loss,8,0.13740856449396394,0.047619047619047616,0.43852294608950615,0.8900024349254275
1-4,spearman,mean_abs_delta_loss,8,0.10776857144579828,0.16666666666666666,0.43852294608950615,0.4547154635693582
1-4,top1_agreement,up_delta_loss,8,-0.6035823951655327,-0.38095238095238093,0.15896461123511907,0.01916109619750863
1-4,top1_agreement,down_delta_loss,8,0.33456361668546836,0.19047619047619047,0.15896461123511907,0.8900024349254275
1-4,top1_agreement,mean_abs_delta_loss,8,0.1877043638014939,0.23809523809523808,0.15896461123511907,0.4547154635693582
1-4,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-5,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-5,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-5,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-5,nestedness,up_delta_loss,8,0.39055553764360473,0.5238095238095238,0.482361324249752,0.04578353192598101
1-5,nestedness,down_delta_loss,8,0.11680021647436785,0.35714285714285715,0.482361324249752,1.1228379425962294
1-5,nestedness,mean_abs_delta_loss,8,0.16885767591455983,0.40476190476190477,0.482361324249752,0.5843107372611052
1-5,spearman,up_delta_loss,8,0.3388942733981905,0.5238095238095238,0.44521963968873024,0.04578353192598101
1-5,spearman,down_delta_loss,8,0.32328936436648514,0.2857142857142857,0.44521963968873024,1.1228379425962294
1-5,spearman,mean_abs_delta_loss,8,0.3596988974956187,0.3333333333333333,0.44521963968873024,0.5843107372611052
1-5,top1_agreement,up_delta_loss,8,0.27547116883434186,0.23809523809523808,0.16082279265873015,0.04578353192598101
1-5,top1_agreement,down_delta_loss,8,-0.09529127066690816,-0.11904761904761904,0.16082279265873015,1.1228379425962294
1-5,top1_agreement,mean_abs_delta_loss,8,-0.051559082051228354,-0.09523809523809523,0.16082279265873015,0.5843107372611052
1-5,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-5,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-5,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-6,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-6,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-6,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-6,nestedness,up_delta_loss,8,0.27236098465645875,0.40476190476190477,0.539275638640873,0.07237096858166513
1-6,nestedness,down_delta_loss,8,0.368381208674999,0.07142857142857142,0.539275638640873,1.338451573329549
1-6,nestedness,mean_abs_delta_loss,8,0.502109269673904,0.47619047619047616,0.539275638640873,0.7054112709556071
1-6,spearman,up_delta_loss,8,0.13539981223452707,0.16666666666666666,0.45059996470808983,0.07237096858166513
1-6,spearman,down_delta_loss,8,0.25703292845382697,0.42857142857142855,0.45059996470808983,1.338451573329549
1-6,spearman,mean_abs_delta_loss,8,0.3300565816540089,0.5,0.45059996470808983,0.7054112709556071
1-6,top1_agreement,up_delta_loss,8,0.36804457971177934,0.2619047619047619,0.16271827334449404,0.07237096858166513
1-6,top1_agreement,down_delta_loss,8,-0.012606358334542636,-0.2619047619047619,0.16271827334449404,1.338451573329549
1-6,top1_agreement,mean_abs_delta_loss,8,0.12291085712246651,0.023809523809523808,0.16271827334449404,0.7054112709556071
1-6,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-6,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-6,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-7,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-7,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-7,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-7,nestedness,up_delta_loss,8,0.49620958436390233,0.4523809523809524,0.5885416666666666,0.09763031464720529
1-7,nestedness,down_delta_loss,8,0.1971923384022968,0.023809523809523808,0.5885416666666666,1.5174687769086588
1-7,nestedness,mean_abs_delta_loss,8,0.2615846647831214,0.023809523809523808,0.5885416666666666,0.807549545777932
1-7,spearman,up_delta_loss,8,0.14641835284261873,0.23809523809523808,0.45284855738282204,0.09763031464720529
1-7,spearman,down_delta_loss,8,0.5606383140494666,0.47619047619047616,0.45284855738282204,1.5174687769086588
1-7,spearman,mean_abs_delta_loss,8,0.5710681189659297,0.47619047619047616,0.45284855738282204,0.807549545777932
1-7,top1_agreement,up_delta_loss,8,0.3884359137123777,0.3333333333333333,0.1623622349330357,0.09763031464720529
1-7,top1_agreement,down_delta_loss,8,-0.22048866874263676,-0.023809523809523808,0.1623622349330357,1.5174687769086588
1-7,top1_agreement,mean_abs_delta_loss,8,-0.1636878499461933,-0.023809523809523808,0.1623622349330357,0.807549545777932
1-7,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-7,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-7,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-8,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-8,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-8,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-8,nestedness,up_delta_loss,8,0.5300583073483297,0.42857142857142855,0.6344967796688988,0.12433181431085345
