pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
2-4,top1_agreement,mean_abs_delta_loss,3,0.9391562674077277,1.0,0.4207343853339947,0.07052311502278798
2-4,top_pair_overlap,up_delta_loss,3,0.8630877297307394,0.8660254037844387,0.07407407407407407,-0.004808779983293432
2-4,top_pair_overlap,down_delta_loss,3,0.9182119174606378,0.8660254037844387,0.07407407407407407,0.13623745006228252
2-4,top_pair_overlap,mean_abs_delta_loss,3,0.7969506879451124,0.8660254037844387,0.07407407407407407,0.07052311502278798
2-5,coactivation_cosine,up_delta_loss,3,0.999975826398739,1.0,0.9296010087047577,0.0098781417759638
2-5,coactivation_cosine,down_delta_loss,3,0.9999562396109819,1.0,0.9296010087047577,0.17806071634330445
2-5,coactivation_cosine,mean_abs_delta_loss,3,0.9999894233841274,1.0,0.9296010087047577,0.09396942905963412
2-5,nestedness,up_delta_loss,3,0.8398751401601473,1.0,0.7122608971974206,0.0098781417759638
2-5,nestedness,down_delta_loss,3,0.848614991791804,1.0,0.7122608971974206,0.17806071634330445
2-5,nestedness,mean_abs_delta_loss,3,0.8460894169581022,1.0,0.7122608971974206,0.09396942905963412
2-5,spearman,up_delta_loss,3,0.49171601679126337,0.5,0.6889000336329142,0.0098781417759638
2-5,spearman,down_delta_loss,3,0.47745052413866074,0.5,0.6889000336329142,0.17806071634330445
2-5,spearman,mean_abs_delta_loss,3,0.48162402639135105,0.5,0.6889000336329142,0.09396942905963412
2-5,top1_agreement,up_delta_loss,3,0.9998806975127356,1.0,0.4203920717592593,0.0098781417759638
2-5,top1_agreement,down_delta_loss,3,0.9994958360183468,1.0,0.4203920717592593,0.17806071634330445
2-5,top1_agreement,mean_abs_delta_loss,3,0.9996355357848183,1.0,0.4203920717592593,0.09396942905963412
2-5,top_pair_overlap,up_delta_loss,3,-0.945840528109938,-0.8660254037844387,0.09161793372319688,0.0098781417759638
2-5,top_pair_overlap,down_delta_loss,3,-0.9404207234459674,-0.8660254037844387,0.09161793372319688,0.17806071634330445
2-5,top_pair_overlap,mean_abs_delta_loss,3,-0.9420271900718651,-0.8660254037844387,0.09161793372319688,0.09396942905963412
2-6,coactivation_cosine,up_delta_loss,3,0.9525165309787443,1.0,0.925344070682483,0.030218001159410646
2-6,coactivation_cosine,down_delta_loss,3,-0.18057561970914487,-0.5,0.925344070682483,0.28642017098646316
2-6,coactivation_cosine,mean_abs_delta_loss,3,0.0951505817709303,0.5,0.925344070682483,0.1583190860729369
