seed,pair,layer_id,intersection_size,count,share
0,1-7,1,1,27169,0.8422929067460317
0,1-7,2,0,8495,0.2633618551587302
0,1-7,2,1,23761,0.7366381448412699
0,1-7,3,0,10828,0.33568948412698413
0,1-7,3,1,21428,0.6643105158730159
0,1-7,4,0,13267,0.41130332341269843
0,1-7,4,1,18989,0.5886966765873016
0,1-7,5,0,13940,0.4321676587301587
0,1-7,5,1,18316,0.5678323412698413
0,1-7,6,0,13778,0.4271453373015873
0,1-7,6,1,18478,0.5728546626984127
0,1-7,7,0,12327,0.3821614583333333
0,1-7,7,1,19929,0.6178385416666666
0,1-7,-1,0,80193,0.31076776413690477
0,1-7,-1,1,177855,0.6892322358630952
0,1-8,0,0,1916,0.059399801587301584
0,1-8,0,1,30340,0.9406001984126984
0,1-8,1,0,4489,0.13916790674603174
0,1-8,1,1,27767,0.8608320932539683
0,1-8,2,0,6830,0.2117435515873016
0,1-8,2,1,25426,0.7882564484126984
0,1-8,3,0,9771,0.3029203869047619
0,1-8,3,1,22485,0.6970796130952381
0,1-8,4,0,11888,0.3685515873015873
0,1-8,4,1,20368,0.6314484126984127
0,1-8,5,0,12935,0.4010106646825397
0,1-8,5,1,19321,0.5989893353174603
0,1-8,6,0,12338,0.3825024801587302
0,1-8,6,1,19918,0.6174975198412699
0,1-8,7,0,11327,0.3511594742063492
0,1-8,7,1,20929,0.6488405257936508
0,1-8,-1,0,71494,0.2770569816468254
0,1-8,-1,1,186554,0.7229430183531746
0,2-3,0,0,321,0.009951636904761904
0,2-3,0,1,7850,0.2433655753968254
0,2-3,0,2,24085,0.7466827876984127
0,2-3,1,0,1584,0.049107142857142856
0,2-3,1,1,13403,0.41551959325396826
0,2-3,1,2,17269,0.5353732638888888
0,2-3,2,0,2970,0.09207589285714286
0,2-3,2,1,16296,0.5052083333333334
0,2-3,2,2,12990,0.40271577380952384
0,2-3,3,0,4992,0.15476190476190477
0,2-3,3,1,17720,0.5493551587301587
0,2-3,3,2,9544,0.2958829365079365
0,2-3,4,0,4745,0.14710441468253968
0,2-3,4,1,17825,0.5526103670634921
0,2-3,4,2,9686,0.30028521825396826
0,2-3,5,0,6404,0.19853670634920634
0,2-3,5,1,17867,0.5539124503968254
0,2-3,5,2,7985,0.24755084325396826
0,2-3,6,0,6525,0.20228794642857142
0,2-3,6,1,18437,0.5715835813492064
0,2-3,6,2,7294,0.2261284722222222
0,2-3,7,0,4983,0.15448288690476192
0,2-3,7,1,18745,0.5811321924603174
0,2-3,7,2,8528,0.26438492063492064
0,2-3,-1,0,32524,0.12603856646825398
0,2-3,-1,1,128143,0.49658590649801587
0,2-3,-1,2,97381,0.3773755270337302
0,2-4,0,0,153,0.004743303571428571
0,2-4,0,1,5214,0.16164434523809523
0,2-4,0,2,26889,0.8336123511904762
0,2-4,1,0,867,0.02687872023809524
0,2-4,1,1,10070,0.3121899801587302
0,2-4,1,2,21319,0.6609312996031746
0,2-4,2,0,1829,0.05670262896825397
0,2-4,2,1,13506,0.4187127976190476
0,2-4,2,2,16921,0.5245845734126984
0,2-4,3,0,3193,0.09898933531746032
0,2-4,3,1,15572,0.4827628968253968
0,2-4,3,2,13491,0.41824776785714285
0,2-4,4,0,3747,0.11616443452380952
0,2-4,4,1,16593,0.5144159226190477
0,2-4,4,2,11916,0.36941964285714285
0,2-4,5,0,5090,0.15780009920634921
0,2-4,5,1,16689,0.5173921130952381
0,2-4,5,2,10477,0.3248077876984127
0,2-4,6,0,5912,0.18328373015873015
0,2-4,6,1,17261,0.535125248015873
0,2-4,6,2,9083,0.2815910218253968
0,2-4,7,0,3671,0.11380828373015874
0,2-4,7,1,17522,0.5432167658730159
0,2-4,7,2,11063,0.3429749503968254
0,2-4,-1,0,24462,0.09479631696428571
0,2-4,-1,1,112427,0.4356825086805556
0,2-4,-1,2,121159,0.4695211743551587
0,2-5,0,0,36,0.0011160714285714285
0,2-5,0,1,3072,0.09523809523809523
0,2-5,0,2,29148,0.9036458333333334
0,2-5,1,0,590,0.018291170634920636
0,2-5,1,1,7944,0.24627976190476192
0,2-5,1,2,23722,0.7354290674603174
0,2-5,2,0,1122,0.03478422619047619
0,2-5,2,1,11322,0.3510044642857143
0,2-5,2,2,19812,0.6142113095238095
