pair,layer_id,rbo_p90,rbo_p95,kendall_tau,mean_absolute_rank_displacement,normalized_footrule_similarity,top1_overlap,top4_overlap,top8_overlap,selected_containment_a,selected_containment_b,selected_jaccard,hypergeometric_calibrated_overlap,empirical_observed_overlap,empirical_null_overlap,empirical_ceiling_overlap,empirical_alignment_headroom,frequency_adjusted_overlap,empirical_ceiling_utilization,empirical_num_samples,selected_union_kendall_tau,common_selected_kendall_tau,common_pairwise_order_agreement,common_selected_exact_order_fraction,full_containment_record_fraction,ordered_containment_record_fraction,contained_exact_order_fraction,common_selected_record_mean_tau,common_selected_valid_record_fraction,common_pair_coverage,num_seeds
1-5,2,0.5508570464465302,0.6900100195330516,0.4554909326696908,6.161501606936177,0.6149061495664889,0.24373759920634921,0.43070281498015867,0.5594178860780423,0.6401289682539683,0.12802579365079367,0.12802579365079367,0.5734861845972957,0.6401289682539683,0.43006655972081503,0.6410900297619048,0.21102347004108976,0.3688080282698776,0.9954594417919886,336.0,0.07387910604056437,nan,nan,nan,0.6401289682539683,nan,nan,nan,0.0,nan,3
1-5,3,0.4977046187886029,0.651235394656687,0.3690244613155242,7.068302538029101,0.5582310913731812,0.18314938822751325,0.3656244833002646,0.49896272528108465,0.5325417493386243,0.10650834986772485,0.10650834986772485,0.44597540662355484,0.5325417493386243,0.36182283751266464,0.5350115740740742,0.17318873656140954,0.2674533994262916,0.9857647651022136,336.0,-0.009463872354497352,nan,nan,nan,0.5325417493386243,nan,nan,nan,0.0,nan,3
1-5,4,0.46934707364484024,0.6298691926900614,0.3172705865675403,7.600272688285384,0.5249829569821636,0.15813078703703706,0.33227926587301587,0.4624113859953704,0.48704117063492064,0.09740823412698413,0.09740823412698413,0.39204879482657257,0.48704117063492064,0.3263409567432174,0.49026537698412703,0.16392442024090967,0.2385348567623284,0.9802663430979007,336.0,-0.041411761463844794,nan,nan,nan,0.48704117063492064,nan,nan,nan,0.0,nan,3
1-5,5,0.46171860851861507,0.6237508234073365,0.3009682932207662,7.7655255353009265,0.5146546540436922,0.16188202711640212,0.32258339533730157,0.4492975467096561,0.478546626984127,0.0957093253968254,0.0957093253968254,0.3819811875367431,0.478546626984127,0.3030450544579534,0.48247354497354505,0.17942849051559162,0.25209665973395795,0.9778465897276302,336.0,-0.04346753747795414,nan,nan,nan,0.478546626984127,nan,nan,nan,0.0,nan,3
1-5,6,0.45964809686353547,0.6234664199051659,0.308054934265793,7.689421477141203,0.5194111576786747,0.14998759920634921,0.31672143683862436,0.453083664021164,0.4525256283068783,0.09050512566137565,0.09050512566137565,0.3511414854007448,0.45252562830687837,0.2869715151131375,0.45680390211640215,0.16983238700326467,0.23233574120882372,0.9748589760451128,336.0,-0.058415316358024695,nan,nan,nan,0.4525256283068783,nan,nan,nan,0.0,nan,3
1-5,7,0.488587612757869,0.6428580911392774,0.3435918336273521,7.333472196387235,0.5416579877257978,0.18838872354497357,0.3622788525132275,0.4771967489252645,0.5425967261904762,0.10851934523809524,0.10851934523809524,0.45789241622574955,0.5425967261904763,0.3057074872650006,0.5471023478835979,0.2413948606185973,0.34131799039156635,0.9811418237529513,336.0,0.01311452821869489,nan,nan,nan,0.5425967261904762,nan,nan,nan,0.0,nan,3
1-6,-1,0.5304075737170931,0.6741935309284726,0.4146475022838962,6.578428157422909,0.5888482401610682,0.23165457589285712,0.4088108930638228,0.5308080602575231,0.6504397114748678,0.10840661857914462,0.10840661857914462,0.5697719525844526,0.6504397114748678,0.4433501678504588,0.6504397114748678,0.20708954362440898,0.37202891336259974,1.0,336.0,0.09639724958270346,nan,nan,nan,0.6504397114748678,nan,nan,nan,0.0,nan,3
1-6,0,0.6937623342350453,0.7922721465163044,0.6675250966061826,3.8960374297288367,0.7564976606419478,0.4260499338624339,0.6152214575066138,0.7132703993055557,0.9106936177248678,0.1517822696208113,0.15178226962081126,0.8900844525844526,0.9106936177248678,0.6899003451114488,0.9106936177248678,0.22079327261341897,0.7122634259260225,1.0,336.0,0.32961919721592337,nan,nan,nan,0.9106936177248678,nan,nan,nan,0.0,nan,3
1-6,1,0.612169330803594,0.7342351112711305,0.5496642410114246,5.17415622933201,0.6766152356667493,0.3140087632275132,0.5129614128637566,0.6265113467261904,0.8017733134920636,0.13362888558201058,0.13362888558201058,0.7560286935286936,0.8017733134920636,0.5545170990234155,0.8019593253968252,0.24744222637340976,0.554526063139487,0.9992237489128405,336.0,0.20625511778785588,nan,nan,nan,0.8017733134920636,nan,nan,nan,0.0,nan,3
1-6,2,0.5523593237404455,0.6907360938028066,0.45417900495631724,6.170733093584656,0.614329181650959,0.25045469576719576,0.4344876405423281,0.5583056898974869,0.7008101851851851,0.11680169753086418,0.11680169753086418,0.6317663817663818,0.7008101851851851,0.4803480401469098,0.7015025628306878,0.22115452268377797,0.42419793235263087,0.9968389463916604,336.0,0.12038237748803225,nan,nan,nan,0.7008101851851851,nan,nan,nan,0.0,nan,3
