comparison,k,seed_i,seed_j,top1_agreement,nestedness,spearman,hco
within_k,6,0,5,0.026309,0.181309,-0.007929,-0.022447
within_k,6,0,6,0.029665,0.185425,-0.000766,-0.007877
within_k,6,0,7,0.03213,0.18693,0.000981,-0.002663
within_k,6,1,2,0.03263,0.192689,0.010902,0.019412
within_k,6,1,3,0.03561,0.191452,0.006874,0.014024
within_k,6,1,4,0.03666,0.186563,-0.008138,-0.002892
within_k,6,1,5,0.034401,0.200671,0.024579,0.049774
within_k,6,1,6,0.02982,0.188998,-0.000984,0.005898
within_k,6,1,7,0.030029,0.188761,0.003875,0.003263
within_k,6,2,3,0.034532,0.193374,0.015046,0.023016
within_k,6,2,4,0.033168,0.192825,0.006814,0.019824
within_k,6,2,5,0.029281,0.181927,-0.013225,-0.020729
within_k,6,2,6,0.027937,0.180765,-0.007956,-0.025456
within_k,6,2,7,0.031537,0.187072,-0.005971,-0.001382
within_k,6,3,4,0.035071,0.189299,0.002428,0.00592
within_k,6,3,5,0.049409,0.189753,-0.001284,0.009804
within_k,6,3,6,0.030103,0.184012,-0.009544,-0.011545
within_k,6,3,7,0.024209,0.184744,-0.000504,-0.010409
within_k,6,4,5,0.031331,0.186167,-0.004332,-0.004694
within_k,6,4,6,0.039535,0.191674,0.006524,0.013929
within_k,6,4,7,0.027286,0.18436,-0.002787,-0.011209
within_k,6,5,6,0.02875,0.18382,-0.003858,-0.013718
within_k,6,5,7,0.032599,0.180107,-0.010505,-0.028698
within_k,6,6,7,0.023872,0.181137,-0.00387,-0.02477
within_k,7,0,1,0.028471,0.223033,0.011512,0.017306
within_k,7,0,2,0.033998,0.222401,0.012365,0.012995
within_k,7,0,3,0.031475,0.220096,0.003373,0.005886
within_k,7,0,4,0.042008,0.221948,0.006267,0.01062
within_k,7,0,5,0.026135,0.209029,-0.012854,-0.037698
within_k,7,0,6,0.029064,0.218706,0.001066,0.000245
within_k,7,0,7,0.035493,0.223226,0.00769,0.0163
within_k,7,1,2,0.035854,0.226396,0.012827,0.028001
within_k,7,1,3,0.039489,0.226471,0.010668,0.030641
within_k,7,1,4,0.037912,0.213025,-0.008175,-0.021448
within_k,7,1,5,0.040376,0.232602,0.024576,0.054883
within_k,7,1,6,0.031998,0.21936,-0.003346,0.002146
within_k,7,1,7,0.028812,0.222539,0.005604,0.015325
within_k,7,2,3,0.03397,0.223918,0.016321,0.020922
within_k,7,2,4,0.037361,0.221313,0.003606,0.010823
within_k,7,2,5,0.027588,0.213105,-0.014994,-0.021645
within_k,7,2,6,0.022829,0.208574,-0.014176,-0.039701
within_k,7,2,7,0.030723,0.213265,-0.015117,-0.021681
within_k,7,3,4,0.038648,0.220966,0.0047,0.008161
within_k,7,3,5,0.052448,0.219472,-0.001658,0.003123
within_k,7,3,6,0.027751,0.21524,-0.011301,-0.01277
within_k,7,3,7,0.024976,0.21472,-0.001162,-0.015902
within_k,7,4,5,0.035807,0.216112,-0.007604,-0.009325
within_k,7,4,6,0.0354,0.220798,0.008957,0.006588
within_k,7,4,7,0.026635,0.215853,-0.004636,-0.010198
within_k,7,5,6,0.029165,0.211942,-0.006111,-0.024551
within_k,7,5,7,0.028502,0.211715,-0.009811,-0.026966
within_k,7,6,7,0.022802,0.212725,-0.00065,-0.023577
within_k,8,0,1,0.0282,0.251294,0.00451,0.004371
within_k,8,0,2,0.035451,0.251439,0.008911,0.006364
within_k,8,0,3,0.032308,0.249239,-0.0048,-0.001905
within_k,8,0,4,0.040826,0.25149,0.005055,0.005339
within_k,8,0,5,0.024918,0.244479,-0.008081,-0.02327
within_k,8,0,6,0.0292,0.245805,-0.003784,-0.017052
within_k,8,0,7,0.029363,0.253134,0.006937,0.010844
within_k,8,1,2,0.036582,0.260492,0.016808,0.04094
within_k,8,1,3,0.035555,0.255713,0.007371,0.024329
within_k,8,1,4,0.037129,0.246494,-0.011044,-0.01497
within_k,8,1,5,0.042453,0.263861,0.025467,0.057946
within_k,8,1,6,0.028863,0.24915,-0.002775,-0.003291
within_k,8,1,7,0.027712,0.254726,0.004192,0.019865
within_k,8,2,3,0.032657,0.254594,0.018079,0.017893
within_k,8,2,4,0.040163,0.258204,0.010884,0.033859
within_k,8,2,5,0.029119,0.246862,-0.006501,-0.012272
within_k,8,2,6,0.026906,0.243862,-0.008853,-0.026446
within_k,8,2,7,0.033598,0.246289,-0.010962,-0.015708
within_k,8,3,4,0.041372,0.254118,0.005153,0.015736
within_k,8,3,5,0.054629,0.251713,0.000814,0.008507
within_k,8,3,6,0.027879,0.246605,-0.010548,-0.013002
within_k,8,3,7,0.024333,0.25046,0.002673,0.001552
within_k,8,4,5,0.0343,0.244432,-0.013704,-0.021599
within_k,8,4,6,0.039225,0.250983,0.002936,0.003148
within_k,8,4,7,0.027913,0.249325,-0.00386,-0.00182
within_k,8,5,6,0.030533,0.243524,-0.004558,-0.025086
within_k,8,5,7,0.028557,0.244094,-0.010193,-0.023388
within_k,8,6,7,0.023655,0.243353,-0.007425,-0.026035
