seed,pair,layer_id,top_m,overlap_fraction
0,1-3,5,29,0.9253996048850575
0,1-3,5,30,0.9481739831349206
0,1-3,5,31,0.9725412426395289
0,1-3,5,32,1.0
0,1-3,6,1,0.13699776785714285
0,1-3,6,2,0.20864335317460317
0,1-3,6,3,0.2666067294973545
0,1-3,6,4,0.31210472470238093
0,1-3,6,5,0.34800967261904764
0,1-3,6,6,0.3816757605820106
0,1-3,6,7,0.4134203160430839
0,1-3,6,8,0.44371977306547616
0,1-3,6,9,0.47091324955908287
0,1-3,6,10,0.4986328125
0,1-3,6,11,0.5263995986652237
0,1-3,6,12,0.5521040013227513
0,1-3,6,13,0.5767704517704517
0,1-3,6,14,0.6025922087585034
0,1-3,6,15,0.6244957010582011
0,1-3,6,16,0.6468796502976191
0,1-3,6,17,0.6685213147759104
0,1-3,6,18,0.6907999889770723
0,1-3,6,19,0.7116603357351713
0,1-3,6,20,0.7321847098214286
0,1-3,6,21,0.7520343206727135
0,1-3,6,22,0.7725243506493507
0,1-3,6,23,0.7938637638026225
0,1-3,6,24,0.8150524966931217
0,1-3,6,25,0.836235119047619
0,1-3,6,26,0.8577533577533577
0,1-3,6,27,0.8793529082157554
0,1-3,6,28,0.9015576282596371
0,1-3,6,29,0.9238313321018062
0,1-3,6,30,0.9470165757275132
0,1-3,6,31,0.9722362231182796
0,1-3,6,32,1.0
0,1-3,7,1,0.21754092261904762
0,1-3,7,2,0.27469308035714285
0,1-3,7,3,0.31339905753968256
0,1-3,7,4,0.35764663938492064
0,1-3,7,5,0.39378100198412697
0,1-3,7,6,0.42652013062169314
0,1-3,7,7,0.4552951388888889
0,1-3,7,8,0.48313492063492064
0,1-3,7,9,0.5072475749559083
0,1-3,7,10,0.5330388144841269
0,1-3,7,11,0.5566068046536796
0,1-3,7,12,0.5799231150793651
0,1-3,7,13,0.604071275946276
0,1-3,7,14,0.6276218820861678
0,1-3,7,15,0.6492621527777778
0,1-3,7,16,0.6694568452380952
0,1-3,7,17,0.6908500379318394
0,1-3,7,18,0.7121121307319224
0,1-3,7,19,0.7321738591269841
0,1-3,7,20,0.7525158110119048
0,1-3,7,21,0.7728100788926682
0,1-3,7,22,0.791859724476912
0,1-3,7,23,0.8115092844202898
0,1-3,7,24,0.830649078207672
0,1-3,7,25,0.8508060515873016
0,1-3,7,26,0.8713310344169719
0,1-3,7,27,0.8917043283362728
0,1-3,7,28,0.9111859587585034
0,1-3,7,29,0.9319420925697866
0,1-3,7,30,0.9525338955026456
0,1-3,7,31,0.9740623399897593
0,1-3,7,32,1.0
0,1-3,-1,1,0.22717478918650794
0,1-3,-1,2,0.30438135540674605
0,1-3,-1,3,0.3545464409722222
0,1-3,-1,4,0.3961404467385913
0,1-3,-1,5,0.43251255580357145
0,1-3,-1,6,0.46611289372519843
0,1-3,-1,7,0.4954316361961451
0,1-3,-1,8,0.5225583031063988
0,1-3,-1,9,0.5475863233024691
0,1-3,-1,10,0.5722307477678571
0,1-3,-1,11,0.594997477565837
0,1-3,-1,12,0.6166904994419643
0,1-3,-1,13,0.6382458958142552
0,1-3,-1,14,0.659100798522534
0,1-3,-1,15,0.6789553364748677
0,1-3,-1,16,0.6983753991505456
0,1-3,-1,17,0.7178557295313959
0,1-3,-1,18,0.7366114486882716
0,1-3,-1,19,0.7547953134790101
0,1-3,-1,20,0.7730366055927579
0,1-3,-1,21,0.7907788657997922
0,1-3,-1,22,0.8087080698164683
0,1-3,-1,23,0.826452072280452
0,1-3,-1,24,0.8443768213665674
0,1-3,-1,25,0.8622687251984127
0,1-3,-1,26,0.8800132295005342
0,1-3,-1,27,0.8982068509792034
0,1-3,-1,28,0.9164153291524944
0,1-3,-1,29,0.935402956306445
0,1-3,-1,30,0.9549370659722223
0,1-3,-1,31,0.9757583235327061
0,1-3,-1,32,1.0
0,1-4,0,1,0.4446614583333333
0,1-4,0,2,0.5196862599206349
0,1-4,0,3,0.5662202380952381
0,1-4,0,4,0.6050889756944444
0,1-4,0,5,0.6306857638888889
0,1-4,0,6,0.656384341931217
0,1-4,0,7,0.67992222930839
0,1-4,0,8,0.7039659288194444
0,1-4,0,9,0.7208822475749559
0,1-4,0,10,0.7370039682539683
0,1-4,0,11,0.7523448773448773
0,1-4,0,12,0.7679553158068783
0,1-4,0,13,0.7821204403235653
0,1-4,0,14,0.796374539399093
0,1-4,0,15,0.810166583994709
0,1-4,0,16,0.8233700706845238
0,1-4,0,17,0.8344858776844071
0,1-4,0,18,0.8469432043650794
0,1-4,0,19,0.8579260651629073
0,1-4,0,20,0.869695560515873
0,1-4,0,21,0.8817658139644747
0,1-4,0,22,0.8925978535353535
0,1-4,0,23,0.9038938492063492
0,1-4,0,24,0.9137408544146826
0,1-4,0,25,0.9230431547619048
0,1-4,0,26,0.932257087530525
0,1-4,0,27,0.9414257697677837
0,1-4,0,28,0.9516236181972789
0,1-4,0,29,0.9619915674603174
0,1-4,0,30,0.9728060929232805
0,1-4,0,31,0.9846740191372247
0,1-4,0,32,1.0
0,1-4,1,1,0.3021763392857143
0,1-4,1,2,0.4010571676587302
0,1-4,1,3,0.46631117724867727
0,1-4,1,4,0.5072854662698413
0,1-4,1,5,0.5425409226190476
0,1-4,1,6,0.5721674520502645
0,1-4,1,7,0.5983692956349206
0,1-4,1,8,0.6191987537202381
0,1-4,1,9,0.6443417934303352
0,1-4,1,10,0.6649336557539682
0,1-4,1,11,0.6860400883838383
0,1-4,1,12,0.705401062334656
0,1-4,1,13,0.7230401976495726
0,1-4,1,14,0.7381882440476191
0,1-4,1,15,0.754656498015873
0,1-4,1,16,0.7696533203125
0,1-4,1,17,0.7847787552521008
0,1-4,1,18,0.7976982749118166
0,1-4,1,19,0.8127251723057645
0,1-4,1,20,0.8264834449404762
0,1-4,1,21,0.8403825940098262
