pair,layer_id,source_rank,mean_target_rank,mean_absolute_displacement,count
3-4,7,23,20.501705109126984,5.83837890625,258048
3-4,7,24,21.12275623139881,5.791182260664683,258048
3-4,7,25,21.820324125744047,5.691092354910714,258048
3-4,7,26,22.460154699900794,5.626542348710317,258048
3-4,7,27,23.173351469494047,5.545483785962301,258048
3-4,7,28,23.97040473090278,5.345319475446429,258048
3-4,7,29,24.85729786706349,5.131572420634921,258048
3-4,7,30,25.920414031498016,4.743873232886905,258048
3-4,7,31,27.098349919394842,4.224931020585317,258048
3-4,7,32,28.667767237103174,3.3322327628968256,258048
3-5,-1,1,2.7581787109375,1.7581787109375,2064384
3-5,-1,2,4.646520221044147,2.987734840029762,2064384
3-5,-1,3,5.968912760416667,3.6042228577628967,2064384
3-5,-1,4,7.038551451667907,3.985011993892609,2064384
3-5,-1,5,7.96423097640749,4.237660725911458,2064384
3-5,-1,6,8.826068696521578,4.4490555051773315,2064384
3-5,-1,7,9.631697397383432,4.602559407552083,2064384
3-5,-1,8,10.3990478515625,4.709000844804067,2064384
3-5,-1,9,11.156990172371032,4.833504813058036,2064384
3-5,-1,10,11.886300707620288,4.91229490249876,2064384
3-5,-1,11,12.612847706628225,4.978346567305308,2064384
3-5,-1,12,13.322790236700149,5.0381271120101685,2064384
3-5,-1,13,14.042011563740079,5.080519903273809,2064384
3-5,-1,14,14.757135784815228,5.118953159877232,2064384
3-5,-1,15,15.46008785187252,5.125589037698413,2064384
3-5,-1,16,16.137066553509424,5.123019748263889,2064384
3-5,-1,17,16.837757413349454,5.135743640718006,2064384
3-5,-1,18,17.548798091827877,5.117945110987103,2064384
3-5,-1,19,18.236172630673362,5.08973863389757,2064384
3-5,-1,20,18.951175265842014,5.064358665829613,2064384
3-5,-1,21,19.67809283544147,5.006144205729167,2064384
3-5,-1,22,20.40200660342262,4.958137633308532,2064384
3-5,-1,23,21.153500027126736,4.875973171657986,2064384
3-5,-1,24,21.90247066437252,4.7900497194320435,2064384
3-5,-1,25,22.669700985863095,4.676498170882937,2064384
3-5,-1,26,23.463796948629714,4.544373042999752,2064384
3-5,-1,27,24.270438542441717,4.397159152560764,2064384
3-5,-1,28,25.167835538349454,4.171960739862351,2064384
3-5,-1,29,26.063963874937997,3.9351922898065474,2064384
3-5,-1,30,27.11028810531374,3.5649612668960815,2064384
3-5,-1,31,28.254939972408234,3.0891181098090277,2064384
