seed,train_k,layer_id,metric_name,same_compute,fixed_step,fixed_minus_same
0,3,7,expert_purity,0.22781291335978837,0.22669684193121692,-0.0011160714285714524
0,3,7,mean_pairwise_task_js,0.039512486342968584,0.04008572727458567,0.0005732409316170847
0,3,7,normalized_mutual_information,0.02697521173817736,0.027755203792204336,0.0007799920540269775
0,4,0,expert_purity,0.16780598958333334,0.16780598958333334,0.0
0,4,0,mean_pairwise_task_js,0.004584102064028685,0.004584102064028685,0.0
0,4,0,normalized_mutual_information,0.003024732126827064,0.003024732126827064,0.0
0,4,1,expert_purity,0.1873449900793651,0.1873449900793651,0.0
0,4,1,mean_pairwise_task_js,0.011686137004705624,0.011686137004705624,0.0
0,4,1,normalized_mutual_information,0.007776016820178904,0.007776016820178904,0.0
0,4,2,expert_purity,0.2105034722222222,0.2105034722222222,0.0
0,4,2,mean_pairwise_task_js,0.02690600254192049,0.02690600254192049,0.0
0,4,2,normalized_mutual_information,0.017931762975690248,0.017931762975690248,0.0
0,4,3,expert_purity,0.24233475942460317,0.24233475942460317,0.0
0,4,3,mean_pairwise_task_js,0.050817081186628504,0.050817081186628504,0.0
0,4,3,normalized_mutual_information,0.03423562510185404,0.03423562510185404,0.0
0,4,4,expert_purity,0.26378813244047616,0.26378813244047616,0.0
0,4,4,mean_pairwise_task_js,0.0669078936232082,0.0669078936232082,0.0
0,4,4,normalized_mutual_information,0.04592448356795489,0.04592448356795489,0.0
0,4,5,expert_purity,0.2534024677579365,0.2534024677579365,0.0
0,4,5,mean_pairwise_task_js,0.057403085064376726,0.057403085064376726,0.0
0,4,5,normalized_mutual_information,0.0395894096755898,0.0395894096755898,0.0
0,4,6,expert_purity,0.24298580109126985,0.24298580109126985,0.0
0,4,6,mean_pairwise_task_js,0.05112412714672419,0.05112412714672419,0.0
0,4,6,normalized_mutual_information,0.034258959242763135,0.034258959242763135,0.0
0,4,7,expert_purity,0.22021484375,0.22021484375,0.0
0,4,7,mean_pairwise_task_js,0.03229228407468302,0.03229228407468302,0.0
0,4,7,normalized_mutual_information,0.021783137005967495,0.021783137005967495,0.0
0,5,0,expert_purity,0.1654265873015873,0.16631324404761905,0.0008866567460317498
0,5,0,mean_pairwise_task_js,0.003351709332395377,0.003829721692370866,0.00047801235997548897
0,5,0,normalized_mutual_information,0.0022221475268757594,0.0025302590831478553,0.0003081115562720959
0,5,1,expert_purity,0.18003472222222222,0.18311011904761904,0.0030753968253968145
0,5,1,mean_pairwise_task_js,0.008635975849314392,0.009868236056333317,0.0012322602070189252
0,5,1,normalized_mutual_information,0.005727849887467982,0.006537178655840825,0.0008093287683728426
0,5,2,expert_purity,0.19853670634920634,0.20230654761904762,0.003769841269841284
0,5,2,mean_pairwise_task_js,0.021545460993512806,0.023490899142661992,0.0019454381491491868
0,5,2,normalized_mutual_information,0.014174730478812719,0.015423326212909353,0.001248595734096634
0,5,3,expert_purity,0.23521825396825397,0.2421937003968254,0.006975446428571425
0,5,3,mean_pairwise_task_js,0.04709259701781486,0.05442051800140878,0.007327920983593916
0,5,3,normalized_mutual_information,0.031191685312669096,0.036141023623004864,0.0049493383103357685
0,5,4,expert_purity,0.2658234126984127,0.278156001984127,0.01233258928571429
0,5,4,mean_pairwise_task_js,0.06696367014370587,0.07651142369206798,0.009547753548362112
0,5,4,normalized_mutual_information,0.04514792388250434,0.05203606611945286,0.006888142236948523
0,5,5,expert_purity,0.26333705357142856,0.2530195932539683,-0.01031746031746028
0,5,5,mean_pairwise_task_js,0.06218589419254593,0.06199912861863091,-0.00018676557391501813
0,5,5,normalized_mutual_information,0.04252611180428435,0.04188034718355279,-0.0006457646207315634
0,5,6,expert_purity,0.2474516369047619,0.25771329365079365,0.010261656746031744
0,5,6,mean_pairwise_task_js,0.050945643740896995,0.056611324971957255,0.00566568123106026
0,5,6,normalized_mutual_information,0.034157615820827124,0.03865083128747709,0.0044932154666499635
0,5,7,expert_purity,0.21060267857142856,0.22893725198412698,0.018334573412698424
