seed,pair,layer_id,metric_name,same_compute,fixed_step,fixed_minus_same
0,2-5,2,nestedness,0.7396763392857143,0.7898065476190477,0.05013020833333337
0,2-5,2,spearman,0.7366474270820618,0.7885569930076599,0.051909565925598145
0,2-5,2,top1_agreement,0.421906001984127,0.4505828373015873,0.028676835317460347
0,2-5,2,top_pair_overlap,0.25,0.05263157894736842,-0.19736842105263158
0,2-5,3,coactivation_cosine,0.7911522846260345,0.8074333827313103,0.016281098105275782
0,2-5,3,nestedness,0.6892516121031746,0.735413566468254,0.046161954365079305
0,2-5,3,spearman,0.6733692288398743,0.7349365949630737,0.06156736612319946
0,2-5,3,top1_agreement,0.36867559523809523,0.39499627976190477,0.026320684523809534
0,2-5,3,top_pair_overlap,0.0,0.1111111111111111,0.1111111111111111
0,2-5,4,coactivation_cosine,0.7770526016989346,0.7762266599073702,-0.0008259417915644773
0,2-5,4,nestedness,0.6382068452380952,0.6758277529761905,0.03762090773809523
0,2-5,4,spearman,0.6211711168289185,0.6560970544815063,0.03492593765258789
0,2-5,4,top1_agreement,0.3478732638888889,0.3849516369047619,0.03707837301587302
0,2-5,4,top_pair_overlap,0.17647058823529413,0.25,0.07352941176470587
0,2-5,5,coactivation_cosine,0.7585557719860058,0.7922845152909584,0.03372874330495268
0,2-5,5,nestedness,0.6423456101190477,0.658141121031746,0.015795510912698374
0,2-5,5,spearman,0.6092298626899719,0.634546160697937,0.025316298007965088
0,2-5,5,top1_agreement,0.349578373015873,0.35367063492063494,0.004092261904761918
0,2-5,5,top_pair_overlap,0.1111111111111111,0.17647058823529413,0.06535947712418302
0,2-5,6,coactivation_cosine,0.7570194119696882,0.6769094418471445,-0.08010997012254373
0,2-5,6,nestedness,0.5890687003968254,0.5925719246031746,0.003503224206349298
0,2-5,6,spearman,0.5337375402450562,0.5667657852172852,0.033028244972229004
0,2-5,6,top1_agreement,0.28617931547619047,0.30248635912698413,0.016307043650793662
0,2-5,6,top_pair_overlap,0.05263157894736842,0.05263157894736842,0.0
0,2-5,7,coactivation_cosine,0.5477425521256029,0.5746032412360206,0.026860689110417724
0,2-5,7,nestedness,0.6315259176587301,0.6566375248015873,0.025111607142857206
0,2-5,7,spearman,0.5991663932800293,0.6255691647529602,0.026402771472930908
0,2-5,7,top1_agreement,0.37822420634920634,0.431671626984127,0.05344742063492064
0,2-5,7,top_pair_overlap,0.1111111111111111,0.05263157894736842,-0.05847953216374269
