seed,train_k,inference_k,same_compute,fixed_step,fixed_minus_same
1,3,4,-0.013893963325591285,-0.008779839863852834,0.005114123461738451
1,3,5,-0.007992514542170925,-0.0006461758462209533,0.007346338695949972
1,3,6,0.008287025349480781,0.016714568175966782,0.008427542826486
1,3,7,0.03677007555961609,0.041936505408514124,0.005166429848898035
1,3,8,0.06777248354185195,0.07783352761041551,0.010061044068563563
1,4,1,0.9550007184346516,0.9550006872131712,-3.122148040102246e-08
1,4,2,0.14713796831312637,0.1471379758819702,7.5688438294641e-09
1,4,3,0.035375631990886836,0.03537563293699236,9.461055272552699e-10
1,4,5,-0.010874387763795401,-0.010874369787791383,1.7976004018649405e-08
1,4,6,-0.010121403705506127,-0.010121391879187647,1.182631848006821e-08
1,4,7,-0.0047234296798706055,-0.004723422111026776,7.5688438294641e-09
1,4,8,0.009846759693963147,0.009846755436488608,-4.257474539581807e-09
1,5,1,1.0774491542861575,1.162801014052497,0.08535185976633941
1,5,2,0.1750033441044035,0.19363968523721847,0.018636341132814982
1,5,3,0.04023033096676781,0.042411281002892376,0.0021809500361245626
1,5,4,0.01149544687498183,0.011860774623023151,0.00036532774804132195
1,5,6,-0.0015197509811038512,-0.006601889928181948,-0.0050821389470780964
1,5,7,-0.0018504985741206736,-0.0035397050872681413,-0.0016892065131474676
1,5,8,0.00398630613372436,0.00020339280839948293,-0.003782913325324877
1,6,1,1.3108372759251368,1.245472950594766,-0.06536432533037084
1,6,2,0.3091243250029428,0.23646330738824517,-0.07266101761469762
1,6,3,0.11903465787569684,0.07921450951742748,-0.03982014835826936
1,6,4,0.049233039220174135,0.031346922829037616,-0.01788611639113652
1,6,5,0.016243433668499896,0.011169246264866428,-0.005074187403633468
1,6,7,-0.0018506830646878303,-0.0006267031033833637,0.0012239799613044666
1,6,8,-0.0003446042537689209,6.622643697828945e-05,0.00041083069074721035
1,7,1,1.5289027591546376,1.3211205232711065,-0.20778223588353106
1,7,2,0.374232082139878,0.2690076676626054,-0.1052244144772726
1,7,3,0.13933095194044565,0.0966904910783919,-0.04264046086205375
1,7,4,0.07563414743968422,0.037011528772021074,-0.038622618667663144
1,7,5,0.022275467713673947,0.016978021651979425,-0.005297446061694522
1,7,6,0.006336662031355356,0.004136898214854856,-0.0021997638165004996
1,7,8,-0.0011839781488690582,-0.0032896834706503397,-0.0021057053217812816
1,8,1,1.690346013932001,1.5018864141570198,-0.18845959977498117
1,8,2,0.3975353609947932,0.31473940232443437,-0.08279595867035883
1,8,3,0.14986872247287203,0.12793190706343877,-0.021936815409433263
1,8,4,0.07044878602027899,0.05599763752922182,-0.014451148491057164
1,8,5,0.04037478566169739,0.029825578606317904,-0.010549207055379484
1,8,6,0.021895241169702484,0.01545307087519815,-0.006442170294504335
1,8,7,0.005070300329299227,0.0047531184696015805,-0.0003171818596976461
2,1,2,-0.012939218254316431,0.011754576175931897,0.024693794430248328
2,1,3,0.004602681313242263,0.05605230539564099,0.051449624082398726
2,1,4,0.02853831294037046,0.10798263360583593,0.07944432066546547
2,1,5,0.05435324353831156,0.17311169987633113,0.11875845633801957
2,1,6,0.08314172781649093,0.2351376877890693,0.15199595997257836
2,1,7,0.11303944034235819,0.2923013331398131,0.1792618927974549
2,1,8,0.14371324649878914,0.3399149879576667,0.1962017414588776
2,2,1,0.2487189698786963,0.266463940105741,0.017744970227044687
2,2,3,-0.010910184610457618,-0.003444401990799706,0.0074657826196579125
2,2,4,-0.0017542427494412483,0.013279106881883385,0.015033349631324633
2,2,5,0.01665214839435758,0.05018166038725108,0.0335295119928935
2,2,6,0.034950599783942826,0.09912464921436609,0.06417404943042326
2,2,7,0.06402565893672763,0.14912342646765325,0.08509776753092563
2,2,8,0.08979332872799467,0.20848113014584496,0.11868780141785029
2,3,1,0.557526334410622,0.4786674276230827,-0.07885890678753937
2,3,2,0.04997349211147856,0.04181897072564983,-0.008154521385828728
2,3,4,-0.01256609175886425,-0.007290361419556635,0.005275730339307616
2,3,5,-0.007983569587980022,0.0023632077943711027,0.010346777382351124
2,3,6,0.010251807315008965,0.022516155999804277,0.012264348684795312
2,3,7,0.03419230239731924,0.046025346195886996,0.011833043798567755
2,3,8,0.06219587723414105,0.07862371017062475,0.0164278329364837
2,4,1,0.856103559335073,0.8561035678500222,8.514949190185916e-09
2,4,2,0.1378149489561717,0.13781496645912295,1.750295125502177e-08
2,4,3,0.02360212802886963,0.02360212329834227,-4.730527358720593e-09
2,4,5,-0.005858394361677621,-0.0058583976730468,-3.311369178859991e-09
2,4,6,0.000876365672974333,0.0008763623616052096,-3.3113691233488396e-09
2,4,7,0.017441201777685267,0.017441201777685267,0.0
2,4,8,0.042590056146894206,0.04259006466184345,8.514949245697068e-09
2,5,1,1.2249193439881008,1.1249931028911047,-0.0999262410969961
2,5,2,0.19442036960806164,0.18008717468806673,-0.014333194919994907
2,5,3,0.05065830051898956,0.04766789126017734,-0.002990409258812221
2,5,4,0.014024211537270348,0.013594943379598934,-0.00042926815767141413
2,5,6,-0.00631797171774362,-0.0022234784232245675,0.004094493294519053
2,5,7,-0.009775673349698366,0.006088491470094715,0.01586416481979308
2,5,8,-0.005918049386569424,0.01740140385097927,0.023319453237548693
2,6,1,1.357414804753803,1.2413566036829873,-0.11605820107081577
2,6,2,0.2720121074290503,0.23459942757137237,-0.03741267985767793
2,6,3,0.08678623182432993,0.07050969676365926,-0.01627653506067067
2,6,4,0.030743807554244995,0.02349667322067983,-0.007247134333565164
2,6,5,0.012810150782267271,0.004809497840820798,-0.008000652941446473
2,6,7,-0.004218589691888708,-0.0009452341094849936,0.003273355582403714
2,6,8,-0.003575356233687599,0.001744343174828411,0.00531969940851601
2,7,1,1.476769393398648,1.4453116229602267,-0.03145777043842135
2,7,2,0.3375979860623678,0.34192997974062717,0.0043319936782593715
2,7,3,0.1167703256720588,0.1118111430652558,-0.004959182606803003
2,7,4,0.054405670790445226,0.04305114537950544,-0.011354525410939786
2,7,5,0.025641656347683506,0.015213423305087626,-0.01042823304259588
2,7,6,0.01148733354750131,0.0043639228457496015,-0.007123410701751709
2,7,8,5.515345505302527e-05,-0.001359743731362495,-0.0014148971864155202
2,8,1,1.6438047133740925,1.487518638845474,-0.15628607452861853
2,8,2,0.4394396075180599,0.35892461500470596,-0.08051499251335392
2,8,3,0.15576782680693124,0.13419261338218813,-0.02157521342474311
2,8,4,0.08577422017142877,0.06200101262047175,-0.02377320755095702
2,8,5,0.0468079845110575,0.03603163125023007,-0.010776353260827432
2,8,6,0.020128416163580742,0.01892499128977454,-0.0012034248738062026
2,8,7,0.010558880510784241,0.0072560915871272,-0.0033027889236570407
