seed,train_k,layer_id,mutual_information,normalized_mutual_information,expert_purity,mean_pairwise_task_js
1,6,3,0.05711714886221984,0.022042046073181287,0.2174065806878307,0.0332514109244112
1,6,4,0.09880690980388111,0.03810105672868196,0.24463148974867724,0.05757974787653096
1,6,5,0.09864031862776634,0.03803631967393766,0.24271970072751323,0.05681109661790965
1,6,6,0.08050549671824835,0.03109552048031251,0.238260582010582,0.046127792859861474
1,6,7,0.03736883101407629,0.014501781614726006,0.2068297371031746,0.021339025757016784
1,7,0,0.00408554293018336,0.0015751679515194341,0.16239725056689341,0.0023836203788300835
1,7,1,0.010870613671385747,0.004188432254068906,0.1739831349206349,0.006355059977886682
1,7,2,0.026261944894980127,0.010127552963291181,0.1960122590702948,0.015269618427270629
1,7,3,0.04444128501395621,0.01712625509208214,0.21353723781179137,0.0257407223166722
1,7,4,0.0817439253343336,0.03153454123148871,0.23211628401360543,0.04793411596768273
1,7,5,0.07732351827962755,0.029808050474975967,0.2328204719387755,0.04451626159225785
1,7,6,0.06611384858543108,0.025498702843010066,0.22946339994331066,0.03792703649526807
1,7,7,0.02641565842332727,0.010250128582763057,0.194781037414966,0.014922497802820374
1,8,0,0.00363208324343128,0.0014003776608205105,0.16046626984126985,0.0021225541998697996
1,8,1,0.008759389047805214,0.0033748409235671373,0.17146422371031747,0.005109741969870086
1,8,2,0.024320997553406675,0.009373088280259014,0.19488622271825398,0.014082714112690726
1,8,3,0.04197954392355048,0.01618083102103955,0.21241396949404762,0.02436990048810015
1,8,4,0.07587123667037227,0.029249165564358276,0.2262447296626984,0.04455852152205888
1,8,5,0.06621419841545065,0.02554159559838355,0.22909691220238096,0.03772577654292435
1,8,6,0.05776283563643673,0.022291406068775194,0.2163822234623016,0.03363608219859011
1,8,7,0.024824984226998525,0.009637717532753387,0.19320824032738096,0.014271559914291071
2,1,0,0.02686429676892832,0.010418890957147499,0.19345238095238096,0.015894247060210163
2,1,1,0.03042136617748745,0.011775096217516061,0.19773065476190477,0.017826590396808357
2,1,2,0.035533228064322256,0.013757011645886167,0.20076884920634921,0.020754426124714846
2,1,3,0.04158986517131766,0.01607723736215977,0.2019779265873016,0.024464730243372215
2,1,4,0.030110915609449687,0.011663740606503131,0.19940476190476192,0.017499392522223902
2,1,5,0.034256645174214014,0.013272053933443112,0.20086185515873015,0.019846542603837867
2,1,6,0.03963114257624556,0.015339780717090972,0.20582217261904762,0.02324817951114369
2,1,7,0.03969927176210154,0.015362698833177521,0.2060701884920635,0.02305260373864503
2,2,0,0.019634008331427318,0.007618852653647987,0.18714347718253968,0.0114210487421919
2,2,1,0.033968617549260616,0.013161309007295697,0.20196242559523808,0.019555564426845338
2,2,2,0.05578570092354791,0.021573280763027405,0.21572730654761904,0.03216002366114413
2,2,3,0.1359967278709023,0.05262638507522869,0.27258494543650796,0.07621795077980974
2,2,4,0.1669940488033798,0.06511240774774885,0.2855437748015873,0.09291735648082851
2,2,5,0.14626007351205841,0.057050683904310326,0.28013392857142855,0.08160944553794547
2,2,6,0.14496522966549433,0.05663681754039983,0.2628968253968254,0.08226086790576329
2,2,7,0.09720269928095221,0.038043680839042054,0.2476748511904762,0.0554545676373101
2,3,0,0.011890305090778507,0.0045920036431424446,0.17829241071428573,0.0068927712227756
2,3,1,0.0252227491630228,0.00975579742463792,0.19267733134920634,0.014593083418195974
2,3,2,0.05512454790943296,0.02131114697615855,0.21607349537037038,0.03177055071102873
