seed,train_k,inference_k,checkpoint_step,task_id,task_name,num_tokens,validation_loss
3,3,4,2000,2,math_ko,4608,0.33516040278805626
3,3,4,2000,3,math_en,4608,0.34861088130209184
3,3,4,2000,4,code,4608,0.40459122674332726
3,3,4,2000,5,reasoning,4608,0.3689345291091336
3,3,4,2000,6,translation,4608,0.4574292873342832
3,3,5,2000,0,general_ko,4608,0.4335780706670549
3,3,5,2000,1,general_en,4608,0.36823386243648
3,3,5,2000,2,math_ko,4608,0.3373459138804012
3,3,5,2000,3,math_en,4608,0.3647085316479206
3,3,5,2000,4,code,4608,0.3895210615462727
3,3,5,2000,5,reasoning,4608,0.3664812230401569
3,3,5,2000,6,translation,4608,0.4730366576049063
3,3,6,2000,0,general_ko,4608,0.43881937323345077
3,3,6,2000,1,general_en,4608,0.37797895073890686
3,3,6,2000,2,math_ko,4608,0.3525243600209554
3,3,6,2000,3,math_en,4608,0.3974223592215114
3,3,6,2000,4,code,4608,0.4032120145857334
3,3,6,2000,5,reasoning,4608,0.36839738860726357
3,3,6,2000,6,translation,4608,0.4864548560645845
3,3,7,2000,0,general_ko,4608,0.4486485454771254
3,3,7,2000,1,general_en,4608,0.3899459590514501
3,3,7,2000,2,math_ko,4608,0.37664292545782196
3,3,7,2000,3,math_en,4608,0.4298126970728238
3,3,7,2000,4,code,4608,0.42419030765692395
3,3,7,2000,5,reasoning,4608,0.38562702263394993
3,3,7,2000,6,translation,4608,0.5113516454067495
3,3,8,2000,0,general_ko,4608,0.4618562733133634
3,3,8,2000,1,general_en,4608,0.40398022656639415
3,3,8,2000,2,math_ko,4608,0.40735919028520584
3,3,8,2000,3,math_en,4608,0.4721449423167441
3,3,8,2000,4,code,4608,0.442072369158268
3,3,8,2000,5,reasoning,4608,0.411835259033574
3,3,8,2000,6,translation,4608,0.5499440237051911
3,4,1,0,0,general_ko,4608,5.7179391913943824
3,4,1,0,1,general_en,4608,5.727363891071743
3,4,1,0,2,math_ko,4608,5.788453274303013
3,4,1,0,3,math_en,4608,5.712143566873339
3,4,1,0,4,code,4608,5.701123793919881
3,4,1,0,5,reasoning,4608,5.709349513053894
3,4,1,0,6,translation,4608,5.7277315855026245
3,4,2,0,0,general_ko,4608,5.7200128767225475
3,4,2,0,1,general_en,4608,5.7273958921432495
3,4,2,0,2,math_ko,4608,5.782033589151171
3,4,2,0,3,math_en,4608,5.712926864624023
3,4,2,0,4,code,4608,5.700557629267375
3,4,2,0,5,reasoning,4608,5.725516464975145
3,4,2,0,6,translation,4608,5.7269644604788885
3,4,3,0,0,general_ko,4608,5.719200332959493
3,4,3,0,1,general_en,4608,5.729452861679925
3,4,3,0,2,math_ko,4608,5.7919653919008045
3,4,3,0,3,math_en,4608,5.712976389461094
3,4,3,0,4,code,4608,5.701523714595371
3,4,3,0,5,reasoning,4608,5.7238360908296375
3,4,3,0,6,translation,4608,5.729654669761658
3,4,4,0,0,general_ko,4608,5.720979001786974
3,4,4,0,1,general_en,4608,5.732852419217427
3,4,4,0,2,math_ko,4608,5.794988022910224
3,4,4,0,3,math_en,4608,5.71027229891883
3,4,4,0,4,code,4608,5.701828572485182
3,4,4,0,5,reasoning,4608,5.72699432902866
3,4,4,0,6,translation,4608,5.72418279118008
3,4,5,0,0,general_ko,4608,5.722252580854628
3,4,5,0,1,general_en,4608,5.735557609134251
3,4,5,0,2,math_ko,4608,5.795872847239177
3,4,5,0,3,math_en,4608,5.713813344637553
3,4,5,0,4,code,4608,5.7014499637815685
3,4,5,0,5,reasoning,4608,5.730136262045966
3,4,5,0,6,translation,4608,5.7217682467566595
3,4,6,0,0,general_ko,4608,5.721214373906453
3,4,6,0,1,general_en,4608,5.735522468884786
3,4,6,0,2,math_ko,4608,5.796924697028266
3,4,6,0,3,math_en,4608,5.716374781396654
3,4,6,0,4,code,4608,5.701326992776659
3,4,6,0,5,reasoning,4608,5.730647895071241
3,4,6,0,6,translation,4608,5.720970498190986
3,4,7,0,0,general_ko,4608,5.720467209815979
3,4,7,0,1,general_en,4608,5.735244830449422
3,4,7,0,2,math_ko,4608,5.796035117573208
3,4,7,0,3,math_en,4608,5.7157297531763716
3,4,7,0,4,code,4608,5.701534840795729
3,4,7,0,5,reasoning,4608,5.730446034007603
3,4,7,0,6,translation,4608,5.721330881118774
3,4,8,0,0,general_ko,4608,5.721442143122355
3,4,8,0,1,general_en,4608,5.735485686196221
3,4,8,0,2,math_ko,4608,5.795479761229621
3,4,8,0,3,math_en,4608,5.714800675710042
3,4,8,0,4,code,4608,5.7011214759614735
3,4,8,0,5,reasoning,4608,5.731022795041402
3,4,8,0,6,translation,4608,5.721435798539056
3,4,1,1500,0,general_ko,4608,1.3761634296841092
3,4,1,1500,1,general_en,4608,1.1239344949523609
3,4,1,1500,2,math_ko,4608,1.3891092936197917
3,4,1,1500,3,math_en,4608,1.2721638282140095
3,4,1,1500,4,code,4608,1.130884736776352
3,4,1,1500,5,reasoning,4608,1.2181878636280696
3,4,1,1500,6,translation,4608,1.6208122488525178
3,4,2,1500,0,general_ko,4608,0.49969732264677685
3,4,2,1500,1,general_en,4608,0.5377243347465992
3,4,2,1500,2,math_ko,4608,0.489166549510426
3,4,2,1500,3,math_en,4608,0.4165065967374378
3,4,2,1500,4,code,4608,0.4494249158435398
3,4,2,1500,5,reasoning,4608,0.4761506463918421
3,4,2,1500,6,translation,4608,0.6239570714533329
3,4,3,1500,0,general_ko,4608,0.46013354717029464
3,4,3,1500,1,general_en,4608,0.41325799955262077
3,4,3,1500,2,math_ko,4608,0.36261193744010395
3,4,3,1500,3,math_en,4608,0.3555280181268851
3,4,3,1500,4,code,4608,0.39757320077882874
3,4,3,1500,5,reasoning,4608,0.3764067296352651
3,4,3,1500,6,translation,4608,0.5137984636757109
3,4,4,1500,0,general_ko,4608,0.4483504630625248
3,4,4,1500,1,general_en,4608,0.3868223586016231
3,4,4,1500,2,math_ko,4608,0.31815751310851836
3,4,4,1500,3,math_en,4608,0.3350425474345684
3,4,4,1500,4,code,4608,0.37602488324046135
3,4,4,1500,5,reasoning,4608,0.3637652426130242
3,4,4,1500,6,translation,4608,0.49301832707391846
3,4,5,1500,0,general_ko,4608,0.4329545423388481
3,4,5,1500,1,general_en,4608,0.3827527252336343
3,4,5,1500,2,math_ko,4608,0.31435497229297954
3,4,5,1500,3,math_en,4608,0.33785147137112087
3,4,5,1500,4,code,4608,0.36718695155448383
3,4,5,1500,5,reasoning,4608,0.35789620420998997
3,4,5,1500,6,translation,4608,0.5013462611370616
3,4,6,1500,0,general_ko,4608,0.42374001029464936
3,4,6,1500,1,general_en,4608,0.37295062219103176
3,4,6,1500,2,math_ko,4608,0.31936289535628426
3,4,6,1500,3,math_en,4608,0.3350366639594237
