seed,pair,layer_id,top_m,overlap_fraction
0,1-3,3,31,0.9725082405273937
0,1-3,3,32,1.0
0,1-3,4,1,0.12369791666666667
0,1-3,4,2,0.18568638392857142
0,1-3,4,3,0.232421875
0,1-3,4,4,0.2686089409722222
0,1-3,4,5,0.3060763888888889
0,1-3,4,6,0.3406343005952381
0,1-3,4,7,0.3755801799886621
0,1-3,4,8,0.405792720734127
0,1-3,4,9,0.4334180720899471
0,1-3,4,10,0.4611049107142857
0,1-3,4,11,0.488312251984127
0,1-3,4,12,0.5143332506613757
0,1-3,4,13,0.5405148237179487
0,1-3,4,14,0.5652547477324263
0,1-3,4,15,0.5899966931216931
0,1-3,4,16,0.6145736452132936
0,1-3,4,17,0.6390931372549019
0,1-3,4,18,0.6617700755070547
0,1-3,4,19,0.684905623433584
0,1-3,4,20,0.7080620659722222
0,1-3,4,21,0.7317235922146637
0,1-3,4,22,0.7542120422979798
0,1-3,4,23,0.7776173762077294
0,1-3,4,24,0.8011713583002645
0,1-3,4,25,0.8236904761904762
0,1-3,4,26,0.8476836748321124
0,1-3,4,27,0.8711867559523809
0,1-3,4,28,0.8948645213293651
0,1-3,4,29,0.9197337250273673
0,1-3,4,30,0.9451967592592593
0,1-3,4,31,0.9711511536738351
0,1-3,4,32,1.0
0,1-3,5,1,0.11325024801587301
0,1-3,5,2,0.17311507936507936
0,1-3,5,3,0.21726190476190477
0,1-3,5,4,0.25749472966269843
0,1-3,5,5,0.2944940476190476
0,1-3,5,6,0.3271484375
0,1-3,5,7,0.3579489087301587
0,1-3,5,8,0.3878696986607143
0,1-3,5,9,0.41631186618165783
0,1-3,5,10,0.44448784722222223
0,1-3,5,11,0.47259424603174605
0,1-3,5,12,0.49983207258597884
0,1-3,5,13,0.5263206845238095
0,1-3,5,14,0.5530709679705216
0,1-3,5,15,0.578947585978836
0,1-3,5,16,0.6044108072916666
0,1-3,5,17,0.6290101978291317
0,1-3,5,18,0.6537405616181657
0,1-3,5,19,0.6780590799916458
0,1-3,5,20,0.7009858630952381
0,1-3,5,21,0.7256649187452758
0,1-3,5,22,0.7496491139069265
0,1-3,5,23,0.7737192136818496
0,1-3,5,24,0.7974136594742064
0,1-3,5,25,0.8220994543650794
0,1-3,5,26,0.8459904895451771
0,1-3,5,27,0.8700683880805409
0,1-3,5,28,0.8941758343962585
0,1-3,5,29,0.9192045532293377
0,1-3,5,30,0.9445033482142857
0,1-3,5,31,0.9712551603302612
0,1-3,5,32,1.0
0,1-3,6,1,0.10884796626984126
0,1-3,6,2,0.16085379464285715
0,1-3,6,3,0.2144510582010582
0,1-3,6,4,0.24867466517857142
0,1-3,6,5,0.2863529265873016
0,1-3,6,6,0.32104104662698413
0,1-3,6,7,0.3543172477324263
0,1-3,6,8,0.38513764880952384
0,1-3,6,9,0.4148375496031746
0,1-3,6,10,0.443883308531746
0,1-3,6,11,0.4715063582251082
0,1-3,6,12,0.4985739087301587
0,1-3,6,13,0.5255814064407814
0,1-3,6,14,0.5517489547902494
0,1-3,6,15,0.5775070271164021
0,1-3,6,16,0.6019926525297619
0,1-3,6,17,0.6260194181839402
0,1-3,6,18,0.649489845127866
0,1-3,6,19,0.6743649488304093
0,1-3,6,20,0.6984948536706349
0,1-3,6,21,0.7233825821995464
0,1-3,6,22,0.7477030348124099
0,1-3,6,23,0.7715517706176673
0,1-3,6,24,0.7948534122850529
0,1-3,6,25,0.8194816468253968
0,1-3,6,26,0.8435472947191697
0,1-3,6,27,0.8679591049382716
0,1-3,6,28,0.8925504446570295
0,1-3,6,29,0.9179056769978107
0,1-3,6,30,0.9437944361772487
0,1-3,6,31,0.9707191260240655
0,1-3,6,32,1.0
0,1-3,7,1,0.16040426587301587
0,1-3,7,2,0.20148189484126985
0,1-3,7,3,0.23612144510582012
0,1-3,7,4,0.2772739955357143
0,1-3,7,5,0.308141121031746
0,1-3,7,6,0.33901186342592593
0,1-3,7,7,0.3692114866780045
0,1-3,7,8,0.40121605282738093
0,1-3,7,9,0.43033165233686066
0,1-3,7,10,0.4575396825396825
0,1-3,7,11,0.4835153995310245
0,1-3,7,12,0.5107137690145502
0,1-3,7,13,0.5367778922466423
0,1-3,7,14,0.5623405612244898
0,1-3,7,15,0.5872871197089947
0,1-3,7,16,0.6109037853422619
0,1-3,7,17,0.6348531600140056
0,1-3,7,18,0.6577966545414462
0,1-3,7,19,0.6811772269214703
0,1-3,7,20,0.7048239087301588
0,1-3,7,21,0.7286278226568406
0,1-3,7,22,0.7528197713744589
0,1-3,7,23,0.7772332211870255
0,1-3,7,24,0.8004944816468254
0,1-3,7,25,0.8239918154761905
0,1-3,7,26,0.8482595963064713
0,1-3,7,27,0.8721753747795414
0,1-3,7,28,0.8961344954648526
0,1-3,7,29,0.9209000410509032
0,1-3,7,30,0.946114417989418
0,1-3,7,31,0.9717031890040962
0,1-3,7,32,1.0
0,1-3,-1,1,0.16092742435515872
0,1-3,-1,2,0.22981383308531747
0,1-3,-1,3,0.27909794560185186
0,1-3,-1,4,0.3209431966145833
0,1-3,-1,5,0.35798378596230157
0,1-3,-1,6,0.392364986359127
0,1-3,-1,7,0.42376722824546487
0,1-3,-1,8,0.45346166217137895
0,1-3,-1,9,0.48097683807319225
0,1-3,-1,10,0.507497054811508
0,1-3,-1,11,0.5330523426226551
0,1-3,-1,12,0.5574980236235119
0,1-3,-1,13,0.5815867888621795
0,1-3,-1,14,0.6050859308567177
0,1-3,-1,15,0.6281058821097883
0,1-3,-1,16,0.6503712487599206
0,1-3,-1,17,0.6723935993668301
0,1-3,-1,18,0.6935800488453483
0,1-3,-1,19,0.7150840153769841
0,1-3,-1,20,0.7362496512276786
0,1-3,-1,21,0.7575672521612812
0,1-3,-1,22,0.7782887820729618
0,1-3,-1,23,0.7993731870578847
0,1-3,-1,24,0.8202324115410053
0,1-3,-1,25,0.8411500186011904
0,1-3,-1,26,0.8620390839629121
0,1-3,-1,27,0.8831693098728689
