seed,train_k,layer_id,task_id,task_name,expert_id,count,share
0,1,1,1,general_en,12,213,0.046223958333333336
0,1,1,1,general_en,13,208,0.04513888888888889
0,1,1,1,general_en,14,54,0.01171875
0,1,1,1,general_en,15,128,0.027777777777777776
0,1,1,1,general_en,16,53,0.011501736111111112
0,1,1,1,general_en,17,119,0.025824652777777776
0,1,1,1,general_en,18,151,0.032769097222222224
0,1,1,1,general_en,19,131,0.028428819444444444
0,1,1,1,general_en,20,102,0.022135416666666668
0,1,1,1,general_en,21,64,0.013888888888888888
0,1,1,1,general_en,22,172,0.03732638888888889
0,1,1,1,general_en,23,103,0.022352430555555556
0,1,1,1,general_en,24,132,0.028645833333333332
0,1,1,1,general_en,25,214,0.046440972222222224
0,1,1,1,general_en,26,216,0.046875
0,1,1,1,general_en,27,153,0.033203125
0,1,1,1,general_en,28,163,0.03537326388888889
0,1,1,1,general_en,29,220,0.04774305555555555
0,1,1,1,general_en,30,80,0.017361111111111112
0,1,1,1,general_en,31,112,0.024305555555555556
0,1,1,2,math_ko,0,61,0.013237847222222222
0,1,1,2,math_ko,1,120,0.026041666666666668
0,1,1,2,math_ko,2,237,0.051432291666666664
0,1,1,2,math_ko,3,161,0.03493923611111111
0,1,1,2,math_ko,4,139,0.030164930555555556
0,1,1,2,math_ko,5,31,0.006727430555555556
0,1,1,2,math_ko,6,193,0.04188368055555555
0,1,1,2,math_ko,7,95,0.020616319444444444
0,1,1,2,math_ko,8,159,0.034505208333333336
0,1,1,2,math_ko,9,168,0.036458333333333336
0,1,1,2,math_ko,10,131,0.028428819444444444
0,1,1,2,math_ko,11,131,0.028428819444444444
0,1,1,2,math_ko,12,242,0.05251736111111111
0,1,1,2,math_ko,13,116,0.025173611111111112
0,1,1,2,math_ko,14,55,0.011935763888888888
0,1,1,2,math_ko,15,161,0.03493923611111111
0,1,1,2,math_ko,16,77,0.016710069444444444
0,1,1,2,math_ko,17,165,0.035807291666666664
0,1,1,2,math_ko,18,121,0.026258680555555556
0,1,1,2,math_ko,19,220,0.04774305555555555
0,1,1,2,math_ko,20,87,0.018880208333333332
0,1,1,2,math_ko,21,151,0.032769097222222224
0,1,1,2,math_ko,22,216,0.046875
0,1,1,2,math_ko,23,65,0.014105902777777778
0,1,1,2,math_ko,24,81,0.017578125
0,1,1,2,math_ko,25,159,0.034505208333333336
0,1,1,2,math_ko,26,207,0.044921875
0,1,1,2,math_ko,27,184,0.03993055555555555
0,1,1,2,math_ko,28,218,0.047309027777777776
0,1,1,2,math_ko,29,232,0.050347222222222224
0,1,1,2,math_ko,30,72,0.015625
0,1,1,2,math_ko,31,153,0.033203125
0,1,1,3,math_en,0,184,0.03993055555555555
0,1,1,3,math_en,1,131,0.028428819444444444
0,1,1,3,math_en,2,224,0.04861111111111111
0,1,1,3,math_en,3,177,0.038411458333333336
0,1,1,3,math_en,4,133,0.028862847222222224
0,1,1,3,math_en,5,111,0.024088541666666668
0,1,1,3,math_en,6,162,0.03515625
0,1,1,3,math_en,7,239,0.05186631944444445
0,1,1,3,math_en,8,141,0.030598958333333332
0,1,1,3,math_en,9,183,0.039713541666666664
0,1,1,3,math_en,10,200,0.043402777777777776
0,1,1,3,math_en,11,59,0.012803819444444444
0,1,1,3,math_en,12,159,0.034505208333333336
0,1,1,3,math_en,13,115,0.024956597222222224
0,1,1,3,math_en,14,27,0.005859375
0,1,1,3,math_en,15,147,0.031901041666666664
0,1,1,3,math_en,16,116,0.025173611111111112
0,1,1,3,math_en,17,214,0.046440972222222224
0,1,1,3,math_en,18,159,0.034505208333333336
0,1,1,3,math_en,19,119,0.025824652777777776
0,1,1,3,math_en,20,91,0.019748263888888888
0,1,1,3,math_en,21,59,0.012803819444444444
0,1,1,3,math_en,22,141,0.030598958333333332
0,1,1,3,math_en,23,93,0.020182291666666668
0,1,1,3,math_en,24,143,0.031032986111111112
0,1,1,3,math_en,25,142,0.030815972222222224
0,1,1,3,math_en,26,237,0.051432291666666664
0,1,1,3,math_en,27,173,0.037543402777777776
0,1,1,3,math_en,28,131,0.028428819444444444
0,1,1,3,math_en,29,138,0.029947916666666668
0,1,1,3,math_en,30,94,0.020399305555555556
0,1,1,3,math_en,31,166,0.03602430555555555
0,1,1,4,code,0,139,0.030164930555555556
0,1,1,4,code,1,111,0.024088541666666668
0,1,1,4,code,2,197,0.04275173611111111
0,1,1,4,code,3,84,0.018229166666666668
0,1,1,4,code,4,74,0.016059027777777776
0,1,1,4,code,5,97,0.021050347222222224
0,1,1,4,code,6,191,0.041449652777777776
0,1,1,4,code,7,144,0.03125
0,1,1,4,code,8,244,0.05295138888888889
0,1,1,4,code,9,199,0.04318576388888889
0,1,1,4,code,10,233,0.05056423611111111
0,1,1,4,code,11,74,0.016059027777777776
0,1,1,4,code,12,189,0.041015625
0,1,1,4,code,13,118,0.025607638888888888
0,1,1,4,code,14,84,0.018229166666666668
0,1,1,4,code,15,225,0.048828125
0,1,1,4,code,16,93,0.020182291666666668
0,1,1,4,code,17,175,0.03797743055555555
0,1,1,4,code,18,210,0.045572916666666664
0,1,1,4,code,19,83,0.018012152777777776
0,1,1,4,code,20,112,0.024305555555555556
0,1,1,4,code,21,85,0.018446180555555556
0,1,1,4,code,22,170,0.03689236111111111
0,1,1,4,code,23,59,0.012803819444444444
0,1,1,4,code,24,124,0.026909722222222224
0,1,1,4,code,25,114,0.024739583333333332
0,1,1,4,code,26,254,0.055121527777777776
0,1,1,4,code,27,207,0.044921875
0,1,1,4,code,28,120,0.026041666666666668
0,1,1,4,code,29,127,0.027560763888888888
0,1,1,4,code,30,89,0.019314236111111112
0,1,1,4,code,31,183,0.039713541666666664
0,1,1,5,reasoning,0,107,0.023220486111111112
0,1,1,5,reasoning,1,131,0.028428819444444444
0,1,1,5,reasoning,2,185,0.04014756944444445
0,1,1,5,reasoning,3,174,0.037760416666666664
0,1,1,5,reasoning,4,151,0.032769097222222224
0,1,1,5,reasoning,5,137,0.029730902777777776
0,1,1,5,reasoning,6,164,0.035590277777777776
0,1,1,5,reasoning,7,225,0.048828125
0,1,1,5,reasoning,8,236,0.051215277777777776
0,1,1,5,reasoning,9,177,0.038411458333333336
0,1,1,5,reasoning,10,175,0.03797743055555555
