seed,train_k,layer_id,mutual_information,normalized_mutual_information,expert_purity,mean_pairwise_task_js
1,4,1,0.017867548334327965,0.006896040713793437,0.1827179439484127,0.01045938535486467
1,4,2,0.050742719055046875,0.01958611435487702,0.21595207093253968,0.029435934690293847
1,4,3,0.07926619178106874,0.030685223043258367,0.2335534474206349,0.04641797506919018
1,4,4,0.13183988932555762,0.05090581106343166,0.2652219742063492,0.07491633168170755
1,4,5,0.11751762553462121,0.0453397357969526,0.2530149429563492,0.06757471365621331
1,4,6,0.11766263974475333,0.04549569463434683,0.25732421875,0.0666854476875185
1,4,7,0.049874464553666356,0.019339457639583075,0.2096741691468254,0.02899148046027716
1,5,0,0.006330675182325374,0.0024440899173547087,0.16687127976190477,0.003690915170185393
1,5,1,0.013574726241335164,0.005230908527090832,0.1781436011904762,0.007928522955679113
1,5,2,0.035358721149498604,0.013645002579457414,0.20381324404761905,0.020537403918262937
1,5,3,0.056276140569959054,0.021734096068731158,0.21905381944444444,0.032668381865117745
1,5,4,0.11118379530786843,0.042889689200152584,0.24879092261904762,0.06430705302275926
1,5,5,0.12459253233952203,0.04805321915703549,0.2639074900793651,0.07012485247411991
1,5,6,0.11328299481561774,0.043792415125755664,0.26187375992063494,0.06360481551478776
1,5,7,0.04039105496178287,0.01567448078010992,0.203937251984127,0.023025646783910777
1,6,0,0.004872914391135189,0.0018801322353758673,0.16450169477513227,0.002833520967228224
1,6,1,0.012098699561154818,0.004664496644018977,0.17645295965608465,0.007058814207749743
1,6,2,0.025502974474023526,0.00983686356317927,0.196268394510582,0.014785500590390648
1,6,3,0.04697094263213647,0.01811687653954788,0.21003327546296297,0.027384786481450284
1,6,4,0.08650650561267922,0.03339789902703372,0.237325355489418,0.050004154837618525
1,6,5,0.10014103830229695,0.03864407259446835,0.24880125661375663,0.05657780540675601
1,6,6,0.09738539987494932,0.037659789814693374,0.24525152943121692,0.055153628416680804
1,6,7,0.03781311448790817,0.014682119296821497,0.2072017609126984,0.021887806285054406
1,7,0,0.0037702287801137293,0.0014542536358826354,0.16032454648526076,0.002203106662357463
1,7,1,0.008149000794464465,0.0031410107664555796,0.17056848781179137,0.004749869884002597
1,7,2,0.023369727128996834,0.009015353693961958,0.19139739229024944,0.013611063593427616
1,7,3,0.04062948915659306,0.015678703494848914,0.2086389243197279,0.023787679359941284
1,7,4,0.07672708423868661,0.029586737599992943,0.2269389526643991,0.04535036583257154
1,7,5,0.07085943182425196,0.02732777086494523,0.23107107426303855,0.040838207964404884
1,7,6,0.06666168632036688,0.02573728724603434,0.22555714994331066,0.03765104509997169
1,7,7,0.029654658474000974,0.011489042893858017,0.19676516439909297,0.01661117339651353
1,8,0,0.0033301378980278764,0.0012839549450870229,0.15944707961309523,0.0019477714326320865
1,8,1,0.0072565998887630144,0.0027969420254612626,0.16884068080357142,0.004224218275963512
1,8,2,0.019307443057521113,0.0074420011430062355,0.18836418030753968,0.011186427195588974
1,8,3,0.03362651917415295,0.012967874478242653,0.20111374627976192,0.019551687023810722
1,8,4,0.06949402201524775,0.02679856218697735,0.2218501984126984,0.04080579958631403
1,8,5,0.06177608995298044,0.023820998702944362,0.22723291790674602,0.035294224211461334
1,8,6,0.061089022261541163,0.023581678666750615,0.21739753844246032,0.03509878102135752
1,8,7,0.030624651819044564,0.011862284106172495,0.1981685577876984,0.01728207614937874
2,1,0,0.02845994584970537,0.011049010871451173,0.19593253968253968,0.016562493801979078
2,1,1,0.02915238739496778,0.011297685645225923,0.19993179563492064,0.0168285623618894
2,1,2,0.032079802481223815,0.01241422221610247,0.1982576884920635,0.01861761386807321
2,1,3,0.02942636622106476,0.011384078358035708,0.19788566468253968,0.017011917069954398
2,1,4,0.0342218295761338,0.013289109749463943,0.1964905753968254,0.020258844956872017
2,1,5,0.03327330336217342,0.012908450052557086,0.19459945436507936,0.019576239028729157
2,1,6,0.0339323513458361,0.013147741107700402,0.19655257936507936,0.02009724982487137
2,1,7,0.03294761769930111,0.012814066315660164,0.1959015376984127,0.019286474221582323
2,2,0,0.02120836973916078,0.008233400830118828,0.19002666170634921,0.01234423499615653
2,2,1,0.03311509819330016,0.01282723816586781,0.20259796626984128,0.019085056362691696
2,2,2,0.07148310471909576,0.027707484427577287,0.22828311011904762,0.04122173101738503
2,2,3,0.14033426265616283,0.054318750153487895,0.2709263392857143,0.07887839079234774
2,2,4,0.16345161373026454,0.06354454634973696,0.2847377232142857,0.09048321405873466
2,2,5,0.13781977800028566,0.0534558519153498,0.26706659226190477,0.07843799206843322
2,2,6,0.1167546611195594,0.045442203723169636,0.25404575892857145,0.06614589255364252
2,2,7,0.06922788626447451,0.02694315339086186,0.23130580357142858,0.039569792412842635
2,3,0,0.01223442612640219,0.004727444278949221,0.1769696593915344,0.007142201801875884
2,3,1,0.02358519762578703,0.009130928527797826,0.19087921626984128,0.013628954939135721
2,3,2,0.05170731978444987,0.01996788066442002,0.21342799272486773,0.030062232069680533
2,3,3,0.12179000050604055,0.04714236047194325,0.2635375330687831,0.06833487802770509
2,3,4,0.15368016722914923,0.059643366753085486,0.2916356646825397,0.0848002098402024
2,3,5,0.1773558327956131,0.06862733684928927,0.29758804563492064,0.09809018537100607
2,3,6,0.11236452932994342,0.043453218608576476,0.25735780423280424,0.06345847442712993
