seed,train_k,layer_id,task_id,task_name,num_records,normalized_gate_entropy,top1_top2_logit_margin,selected_probability_mass,normalized_selected_weight_entropy
0,2,6,6,translation,4608,0.883094072341919,0.7433644533157349,0.2768501043319702,0.8711032867431641
0,2,7,0,general_ko,4608,0.8775104880332947,0.7185837626457214,0.2825898826122284,0.8801078796386719
0,2,7,1,general_en,4608,0.8720170259475708,0.7482967376708984,0.28679344058036804,0.8696773052215576
0,2,7,2,math_ko,4608,0.8754719495773315,0.7267704010009766,0.28312286734580994,0.8774507641792297
0,2,7,3,math_en,4608,0.8791837692260742,0.7119539976119995,0.27875545620918274,0.8808419704437256
0,2,7,4,code,4608,0.8733557462692261,0.754382848739624,0.2855550944805145,0.8669869303703308
0,2,7,5,reasoning,4608,0.8696620464324951,0.7713719606399536,0.2938098907470703,0.8657187223434448
0,2,7,6,translation,4608,0.871099054813385,0.7458088994026184,0.28867775201797485,0.8722238540649414
0,3,0,0,general_ko,4608,0.942345917224884,0.3381275534629822,0.24642202258110046,0.9670655727386475
0,3,0,1,general_en,4608,0.9420136213302612,0.31789669394493103,0.24752092361450195,0.9695385694503784
0,3,0,2,math_ko,4608,0.9420998692512512,0.3182086944580078,0.24682658910751343,0.97032231092453
0,3,0,3,math_en,4608,0.9424359798431396,0.3278869092464447,0.24584166705608368,0.9690245389938354
0,3,0,4,code,4608,0.9430563449859619,0.3200024962425232,0.24515189230442047,0.9699313044548035
0,3,0,5,reasoning,4608,0.9423227310180664,0.3176672160625458,0.24718359112739563,0.9687315821647644
0,3,0,6,translation,4608,0.9403191804885864,0.33282798528671265,0.2508865296840668,0.9670003056526184
0,3,1,0,general_ko,4608,0.936803936958313,0.3459095358848572,0.25750017166137695,0.9647407531738281
0,3,1,1,general_en,4608,0.9348496198654175,0.36067450046539307,0.25989633798599243,0.9610896706581116
0,3,1,2,math_ko,4608,0.936385452747345,0.3650824725627899,0.2586941719055176,0.9612242579460144
0,3,1,3,math_en,4608,0.9344088435173035,0.3752788007259369,0.2608462870121002,0.9604790806770325
0,3,1,4,code,4608,0.93694007396698,0.37069129943847656,0.25662049651145935,0.9604952335357666
0,3,1,5,reasoning,4608,0.9363877773284912,0.3524036407470703,0.2591383755207062,0.9647915959358215
0,3,1,6,translation,4608,0.9342274069786072,0.35622236132621765,0.2607714533805847,0.9628825783729553
0,3,2,0,general_ko,4608,0.9278138279914856,0.41271987557411194,0.2750484049320221,0.9502179622650146
0,3,2,1,general_en,4608,0.9327042698860168,0.3798888623714447,0.26466846466064453,0.9589856266975403
0,3,2,2,math_ko,4608,0.9312927722930908,0.42748770117759705,0.2672857642173767,0.9515773057937622
0,3,2,3,math_en,4608,0.9236252903938293,0.4451192617416382,0.28053227066993713,0.9462513327598572
0,3,2,4,code,4608,0.9310481548309326,0.4089195430278778,0.2655164897441864,0.9553040266036987
0,3,2,5,reasoning,4608,0.9276055097579956,0.45627912878990173,0.27309125661849976,0.9457056522369385
0,3,2,6,translation,4608,0.9227661490440369,0.46378442645072937,0.27896130084991455,0.9412498474121094
0,3,3,0,general_ko,4608,0.9151718616485596,0.47935453057289124,0.2927277684211731,0.9376256465911865
0,3,3,1,general_en,4608,0.9175400137901306,0.4417465925216675,0.2885408401489258,0.9447629451751709
0,3,3,2,math_ko,4608,0.9130641222000122,0.4264390766620636,0.29676353931427,0.9470441341400146
0,3,3,3,math_en,4608,0.9144304990768433,0.42322880029678345,0.29278188943862915,0.9483082890510559
0,3,3,4,code,4608,0.9101731777191162,0.4315887987613678,0.2985680401325226,0.9477974772453308
0,3,3,5,reasoning,4608,0.9184943437576294,0.4207049608230591,0.28527572751045227,0.9490000605583191
0,3,3,6,translation,4608,0.9079079031944275,0.4566974639892578,0.3003195524215698,0.9437425136566162
0,3,4,0,general_ko,4608,0.8952030539512634,0.5788559317588806,0.32468074560165405,0.9173964262008667
0,3,4,1,general_en,4608,0.9033987522125244,0.5464773178100586,0.31023460626602173,0.9261350631713867
0,3,4,2,math_ko,4608,0.8975694179534912,0.5617370009422302,0.3206905424594879,0.9194194078445435
0,3,4,3,math_en,4608,0.8926108479499817,0.5684810280799866,0.3268777132034302,0.91447913646698
0,3,4,4,code,4608,0.8806970119476318,0.6474376320838928,0.34160706400871277,0.8957430720329285
0,3,4,5,reasoning,4608,0.8970027565956116,0.57918381690979,0.32181835174560547,0.9163839817047119
0,3,4,6,translation,4608,0.8978001475334167,0.5748311281204224,0.31775161623954773,0.9180477857589722
0,3,5,0,general_ko,4608,0.8938467502593994,0.5834255218505859,0.32543718814849854,0.9149273633956909
0,3,5,1,general_en,4608,0.8857688903808594,0.5945147275924683,0.3349266052246094,0.9100432991981506
0,3,5,2,math_ko,4608,0.891088604927063,0.5624845027923584,0.32962727546691895,0.9147758483886719
0,3,5,3,math_en,4608,0.8804636001586914,0.5913560390472412,0.34316200017929077,0.9072151184082031
0,3,5,4,code,4608,0.8870012760162354,0.6254253387451172,0.3368043303489685,0.9038596749305725
0,3,5,5,reasoning,4608,0.8838236927986145,0.6770257949829102,0.34028923511505127,0.8949099779129028
0,3,5,6,translation,4608,0.8769121170043945,0.6294553279876709,0.3484540581703186,0.9040924906730652
0,3,6,0,general_ko,4608,0.8794580698013306,0.7140594124794006,0.34717196226119995,0.8816118240356445
0,3,6,1,general_en,4608,0.8812525868415833,0.6418327689170837,0.34577688574790955,0.8961034417152405
0,3,6,2,math_ko,4608,0.8840544819831848,0.6746443510055542,0.3403724730014801,0.8903493881225586
0,3,6,3,math_en,4608,0.865213930606842,0.7625345587730408,0.37021565437316895,0.8664776682853699
0,3,6,4,code,4608,0.8667616248130798,0.7679066061973572,0.36661818623542786,0.871694803237915
0,3,6,5,reasoning,4608,0.8841540217399597,0.6761969923973083,0.3408295214176178,0.8915104269981384
0,3,6,6,translation,4608,0.8769746422767639,0.6873610019683838,0.3525429368019104,0.8891196846961975
0,3,7,0,general_ko,4608,0.8599098920822144,0.9181838631629944,0.37115371227264404,0.8360130786895752
0,3,7,1,general_en,4608,0.8627537488937378,0.8307228684425354,0.36675941944122314,0.8554856181144714
0,3,7,2,math_ko,4608,0.8569057583808899,0.9347166419029236,0.3734408915042877,0.8352378010749817
0,3,7,3,math_en,4608,0.8603545427322388,0.8163057565689087,0.36507055163383484,0.8567668199539185
0,3,7,4,code,4608,0.8611993789672852,0.8404367566108704,0.37284281849861145,0.8547739386558533
0,3,7,5,reasoning,4608,0.8563336133956909,0.8709596395492554,0.3745023012161255,0.8410837650299072
0,3,7,6,translation,4608,0.863433837890625,0.8705902695655823,0.3628157377243042,0.8476517200469971
0,4,0,0,general_ko,4608,0.9446625113487244,0.3229518532752991,0.2958821654319763,0.9707715511322021
0,4,0,1,general_en,4608,0.9456514716148376,0.29260241985321045,0.2942436635494232,0.9736858010292053
0,4,0,2,math_ko,4608,0.9451796412467957,0.30446475744247437,0.2953455150127411,0.9733915328979492
0,4,0,3,math_en,4608,0.9456729888916016,0.29872941970825195,0.294201135635376,0.9745422005653381
0,4,0,4,code,4608,0.9456063508987427,0.2911008596420288,0.29419758915901184,0.9733333587646484
0,4,0,5,reasoning,4608,0.9453521370887756,0.3033091127872467,0.29438626766204834,0.9722811579704285
0,4,0,6,translation,4608,0.9441804885864258,0.29950109124183655,0.2977290153503418,0.97288578748703
0,4,1,0,general_ko,4608,0.9403934478759766,0.33459341526031494,0.30449992418289185,0.9677040576934814
0,4,1,1,general_en,4608,0.9396765232086182,0.3437170386314392,0.3049851953983307,0.9664226174354553
0,4,1,2,math_ko,4608,0.94009929895401,0.3286702334880829,0.306139200925827,0.9678236842155457
0,4,1,3,math_en,4608,0.9392972588539124,0.32021433115005493,0.3057996332645416,0.9679272770881653
0,4,1,4,code,4608,0.9410623908042908,0.326418936252594,0.30352672934532166,0.9671245217323303
0,4,1,5,reasoning,4608,0.9405102133750916,0.3110238313674927,0.3045591711997986,0.9692622423171997
0,4,1,6,translation,4608,0.936866044998169,0.33636462688446045,0.3098822832107544,0.9635999202728271
0,4,2,0,general_ko,4608,0.9324831366539001,0.3730261027812958,0.32084354758262634,0.9600650072097778
0,4,2,1,general_en,4608,0.9362137913703918,0.3488071858882904,0.3138028383255005,0.9651400446891785
0,4,2,2,math_ko,4608,0.9343504309654236,0.3898025155067444,0.31738224625587463,0.9590235948562622
0,4,2,3,math_en,4608,0.931657075881958,0.3801824748516083,0.3215894103050232,0.9579076766967773
0,4,2,4,code,4608,0.9347599744796753,0.3657035231590271,0.31490734219551086,0.9631267189979553
0,4,2,5,reasoning,4608,0.931900680065155,0.41152089834213257,0.3204657733440399,0.954148530960083
0,4,2,6,translation,4608,0.9297124147415161,0.4092496633529663,0.32417455315589905,0.9544613361358643
0,4,3,0,general_ko,4608,0.9192691445350647,0.3974434435367584,0.3418329656124115,0.9513922929763794
0,4,3,1,general_en,4608,0.9233758449554443,0.444903701543808,0.3353902995586395,0.9481306076049805
0,4,3,2,math_ko,4608,0.9132671356201172,0.4384668171405792,0.3535149097442627,0.9460991621017456
0,4,3,3,math_en,4608,0.9142623543739319,0.43426957726478577,0.3514632284641266,0.9461184740066528
0,4,3,4,code,4608,0.9148881435394287,0.4413715898990631,0.3488119840621948,0.9479266405105591
0,4,3,5,reasoning,4608,0.9220626354217529,0.3840838670730591,0.33839356899261475,0.9556257724761963
0,4,3,6,translation,4608,0.9164750576019287,0.4323829114437103,0.3489116430282593,0.9470528364181519
0,4,4,0,general_ko,4608,0.8997008204460144,0.5366508960723877,0.3762625455856323,0.9273266196250916
