comparison,k,seed_i,seed_j,top1_agreement,nestedness,spearman,hco
within_k,6,0,5,0.02405,0.183075,-0.001788,-0.017151
within_k,6,0,6,0.031297,0.183658,-0.004591,-0.01455
within_k,6,0,7,0.034199,0.188537,-0.000194,0.003073
within_k,6,1,2,0.033626,0.195367,0.016999,0.028517
within_k,6,1,3,0.037187,0.191694,0.005133,0.016308
within_k,6,1,4,0.036323,0.185576,-0.00681,-0.0061
within_k,6,1,5,0.034556,0.199081,0.019317,0.042123
within_k,6,1,6,0.030033,0.190026,0.001573,0.008807
within_k,6,1,7,0.028041,0.189686,0.00774,0.006579
within_k,6,2,3,0.035656,0.189144,0.013493,0.006703
within_k,6,2,4,0.035323,0.192544,0.007586,0.018784
within_k,6,2,5,0.028816,0.184005,-0.011632,-0.014329
within_k,6,2,6,0.025344,0.180248,-0.004384,-0.027546
within_k,6,2,7,0.028223,0.182533,-0.013112,-0.017947
within_k,6,3,4,0.03454,0.18949,0.000426,0.00753
within_k,6,3,5,0.048123,0.190341,-0.001052,0.01218
within_k,6,3,6,0.030789,0.184006,-0.009016,-0.010875
within_k,6,3,7,0.026108,0.184036,-0.003462,-0.012595
within_k,6,4,5,0.030913,0.184889,-0.002611,-0.008366
within_k,6,4,6,0.035005,0.189279,0.002755,0.005039
within_k,6,4,7,0.027138,0.183769,-0.003654,-0.013264
within_k,6,5,6,0.029564,0.180891,-0.005289,-0.024298
within_k,6,5,7,0.029184,0.180836,-0.006493,-0.025558
within_k,6,6,7,0.02343,0.182828,-0.004362,-0.018887
within_k,7,0,1,0.028041,0.221188,0.010827,0.008597
within_k,7,0,2,0.038001,0.221694,0.008797,0.01099
within_k,7,0,3,0.029828,0.220385,0.000158,0.007577
within_k,7,0,4,0.036745,0.221321,0.007007,0.007932
within_k,7,0,5,0.02555,0.212582,-0.008327,-0.024183
within_k,7,0,6,0.031475,0.216381,-0.004431,-0.00853
within_k,7,0,7,0.03182,0.218482,0.002588,-0.000983
within_k,7,1,2,0.032936,0.225511,0.011472,0.024149
within_k,7,1,3,0.041922,0.22487,0.004448,0.02436
within_k,7,1,4,0.039931,0.212622,-0.01132,-0.022842
within_k,7,1,5,0.03776,0.230709,0.022089,0.047051
within_k,7,1,6,0.028828,0.217938,3.8e-05,-0.003056
within_k,7,1,7,0.029184,0.218827,0.004553,-0.000715
within_k,7,2,3,0.032843,0.222621,0.015538,0.016244
within_k,7,2,4,0.036327,0.223684,0.007171,0.018607
within_k,7,2,5,0.02808,0.213215,-0.013373,-0.021509
within_k,7,2,6,0.025383,0.212353,-0.010987,-0.024361
within_k,7,2,7,0.032994,0.215993,-0.011419,-0.010196
within_k,7,3,4,0.035792,0.219167,0.000188,0.002987
within_k,7,3,5,0.053323,0.22494,0.007502,0.024732
within_k,7,3,6,0.029285,0.211591,-0.012717,-0.026403
within_k,7,3,7,0.023682,0.214176,-0.001115,-0.018138
within_k,7,4,5,0.036861,0.217626,-0.003595,-0.003006
within_k,7,4,6,0.035176,0.220285,-0.001623,0.005086
within_k,7,4,7,0.025112,0.21372,-0.008125,-0.019082
within_k,7,5,6,0.027979,0.21343,-0.003548,-0.020647
within_k,7,5,7,0.030735,0.212085,-0.010199,-0.026302
within_k,7,6,7,0.024751,0.213656,-0.001533,-0.019811
within_k,8,0,1,0.028921,0.254109,0.011416,0.017149
within_k,8,0,2,0.039086,0.252267,0.007195,0.010184
within_k,8,0,3,0.031083,0.252063,-0.001272,0.008303
within_k,8,0,4,0.04076,0.249683,0.00077,-0.002687
within_k,8,0,5,0.024174,0.24416,-0.008147,-0.023466
within_k,8,0,6,0.030742,0.249326,-0.001745,-0.001673
within_k,8,0,7,0.034094,0.251798,0.00593,0.006617
within_k,8,1,2,0.035656,0.259313,0.018629,0.036782
within_k,8,1,3,0.036129,0.255632,0.005377,0.022249
within_k,8,1,4,0.037357,0.248121,-0.010277,-0.008512
within_k,8,1,5,0.042345,0.264429,0.025721,0.059427
within_k,8,1,6,0.031033,0.25244,0.001088,0.00981
within_k,8,1,7,0.027561,0.252485,0.003755,0.008372
within_k,8,2,3,0.036036,0.256941,0.016458,0.029533
within_k,8,2,4,0.038307,0.253444,0.00536,0.014058
within_k,8,2,5,0.029293,0.248909,-0.0044,-0.003903
within_k,8,2,6,0.028336,0.242278,-0.012412,-0.031713
within_k,8,2,7,0.031707,0.247859,-0.003279,-0.009331
within_k,8,3,4,0.03928,0.253565,0.003021,0.014807
within_k,8,3,5,0.047731,0.252188,0.003215,0.009603
within_k,8,3,6,0.029495,0.241905,-0.017313,-0.033146
within_k,8,3,7,0.026332,0.250159,0.000201,0.001866
within_k,8,4,5,0.034439,0.249364,-0.005851,-0.001345
within_k,8,4,6,0.035877,0.253472,0.007829,0.013612
within_k,8,4,7,0.026522,0.247051,-0.005121,-0.011907
within_k,8,5,6,0.028599,0.243446,-0.003979,-0.026382
within_k,8,5,7,0.028704,0.242853,-0.012852,-0.029258
within_k,8,6,7,0.02641,0.247198,0.003233,-0.011808
