seed,pair,layer_id,intersection_size,count,share
0,2-4,6,2,8301,0.25734747023809523
0,2-4,7,0,5437,0.1685577876984127
0,2-4,7,1,18468,0.5725446428571429
0,2-4,7,2,8351,0.2588975694444444
0,2-4,-1,0,30426,0.11790829613095238
0,2-4,-1,1,122318,0.4740125868055556
0,2-4,-1,2,105304,0.40807911706349204
0,2-5,0,0,135,0.004185267857142857
0,2-5,0,1,4269,0.13234747023809523
0,2-5,0,2,27852,0.8634672619047619
0,2-5,1,0,708,0.02194940476190476
0,2-5,1,1,9831,0.30478050595238093
0,2-5,1,2,21717,0.6732700892857143
0,2-5,2,0,1928,0.0597718253968254
0,2-5,2,1,12933,0.4009486607142857
0,2-5,2,2,17395,0.5392795138888888
0,2-5,3,0,2610,0.08091517857142858
0,2-5,3,1,14829,0.4597284226190476
0,2-5,3,2,14817,0.45935639880952384
0,2-5,4,0,3640,0.11284722222222222
0,2-5,4,1,16062,0.49795386904761907
0,2-5,4,2,12554,0.3891989087301587
0,2-5,5,0,3448,0.10689484126984126
0,2-5,5,1,16177,0.5015190972222222
0,2-5,5,2,12631,0.3915860615079365
0,2-5,6,0,5075,0.15733506944444445
0,2-5,6,1,16363,0.5072854662698413
0,2-5,6,2,10818,0.3353794642857143
0,2-5,7,0,4038,0.12518601190476192
0,2-5,7,1,15708,0.4869791666666667
0,2-5,7,2,12510,0.38783482142857145
0,2-5,-1,0,21582,0.08363560267857142
0,2-5,-1,1,106172,0.4114428323412698
0,2-5,-1,2,130294,0.5049215649801587
0,2-6,0,0,103,0.003193204365079365
0,2-6,0,1,3459,0.1072358630952381
0,2-6,0,2,28694,0.8895709325396826
0,2-6,1,0,482,0.01494295634920635
0,2-6,1,1,7540,0.23375496031746032
0,2-6,1,2,24234,0.7513020833333334
0,2-6,2,0,1158,0.035900297619047616
0,2-6,2,1,11227,0.3480592757936508
0,2-6,2,2,19871,0.6160404265873016
0,2-6,3,0,1957,0.060670882936507936
0,2-6,3,1,14107,0.43734499007936506
0,2-6,3,2,16192,0.501984126984127
0,2-6,4,0,2903,0.08999875992063493
0,2-6,4,1,15006,0.46521577380952384
0,2-6,4,2,14347,0.4447854662698413
0,2-6,5,0,2439,0.07561383928571429
0,2-6,5,1,14030,0.4349578373015873
0,2-6,5,2,15787,0.48942832341269843
0,2-6,6,0,4062,0.12593005952380953
0,2-6,6,1,16040,0.4972718253968254
0,2-6,6,2,12154,0.37679811507936506
0,2-6,7,0,3418,0.10596478174603174
0,2-6,7,1,16798,0.5207713293650794
