pair,layer_id,rbo_p90,rbo_p95,kendall_tau,mean_absolute_rank_displacement,normalized_footrule_similarity,top1_overlap,top4_overlap,top8_overlap,selected_containment_a,selected_containment_b,selected_jaccard,hypergeometric_calibrated_overlap,empirical_observed_overlap,empirical_null_overlap,empirical_ceiling_overlap,empirical_alignment_headroom,frequency_adjusted_overlap,empirical_ceiling_utilization,empirical_num_samples,selected_union_kendall_tau,common_selected_kendall_tau,common_pairwise_order_agreement,common_selected_exact_order_fraction,full_containment_record_fraction,ordered_containment_record_fraction,contained_exact_order_fraction,common_selected_record_mean_tau,common_selected_valid_record_fraction,common_pair_coverage,num_seeds
1-4,5,0.41428970777097146,0.5888725375044627,0.2205580844674059,8.579750020667989,0.46376562370825064,0.11528604497354498,0.26170066550925924,0.39545485077711645,0.31929976851851855,0.07982494212962964,0.07982494212962964,0.22205687830687823,0.31929976851851855,0.22782280761004167,0.324239417989418,0.09641661037937636,0.11841708069504585,0.9484164715770994,336.0,-0.19291225749559085,nan,nan,nan,0.31929976851851855,nan,nan,nan,0.0,nan,3
1-4,6,0.3969735274083119,0.5771142345389142,0.19779590893817203,8.781180245535715,0.4511762346540178,0.0935433201058201,0.2367518187830688,0.3762142443783069,0.2862103174603175,0.07155257936507937,0.07155257936507937,0.18424036281179137,0.2862103174603175,0.20335740494483845,0.2921626984126984,0.08880529346785992,0.1042496425392035,0.9305742207271824,336.0,-0.22688560956790127,nan,nan,nan,0.2862103174603175,nan,nan,nan,0.0,nan,3
1-4,7,0.4124595746549001,0.5879140429378104,0.21993395077284947,8.549568297371032,0.4656519814143105,0.11554439484126984,0.25784091848544977,0.3895528480489418,0.3314215443121693,0.08285538607804233,0.08285538607804233,0.23591033635676492,0.33142154431216936,0.21251332425700775,0.33499710648148145,0.12248378222447372,0.1510891405866773,0.9710257190608905,336.0,-0.18696676587301586,nan,nan,nan,0.3314215443121693,nan,nan,nan,0.0,nan,3
1-5,-1,0.47029527724234305,0.6307953227552039,0.3203080700289818,7.543349654586227,0.5285406465883608,0.1639875785383598,0.3314447958002646,0.46262290994957006,0.48617828207671954,0.09723565641534392,0.09723565641534392,0.39102611209092686,0.48617828207671954,0.35444780079400257,0.48624286954365076,0.1317950687496482,0.20407362768361745,0.9995070053059404,336.0,-0.04163454516644621,nan,nan,nan,0.48617828207671954,nan,nan,nan,0.0,nan,3
1-5,0,0.6071406121938022,0.730922058217673,0.5432378297211021,5.2208542596726195,0.6736966087704613,0.30210400132275134,0.5077763310185185,0.6232186776620371,0.7397073412698413,0.14794146825396826,0.14794146825396826,0.6915049970605525,0.7397073412698413,0.5811319725880897,0.7411437665343916,0.16001179394630197,0.3784750667885827,0.991081784320979,336.0,0.15769607032627866,nan,nan,nan,0.7397073412698413,nan,nan,nan,0.0,nan,3
1-5,1,0.5414989670546716,0.6835355352020609,0.4437925277217742,6.28955078125,0.606903076171875,0.22940434854497357,0.4194361772486772,0.549467540922619,0.6266844411375662,0.12533688822751324,0.1253368882275132,0.5575519302371156,0.6266844411375662,0.45183478976697056,0.6291852678571429,0.17735047809017232,0.3188156606669723,0.9857076685224184,336.0,0.054515266754850085,nan,nan,nan,0.6266844411375662,nan,nan,nan,0.0,nan,3
1-5,2,0.49544819585136707,0.6498615682889083,0.3692974787886425,7.064313616071428,0.5584803989955357,0.1765666335978836,0.3645058283730158,0.4930000103339947,0.5356936177248678,0.10713872354497354,0.10713872354497352,0.44971095434058395,0.5356936177248677,0.3847471557328605,0.5381944444444444,0.15344728871158395,0.2459800585345402,0.9835179012560168,336.0,-0.007537615740740738,nan,nan,nan,0.5356936177248678,nan,nan,nan,0.0,nan,3
1-5,3,0.46108167729331373,0.6239650790333529,0.30423728368615593,7.715775747147817,0.5177640158032614,0.15892650462962965,0.3177625868055555,0.45244295634920634,0.48102678571428575,0.09620535714285715,0.09620535714285715,0.38492063492063494,0.48102678571428575,0.34466642744568277,0.4846953538359788,0.14002892639029604,0.208054030368365,0.9737457632518689,336.0,-0.049797453703703705,nan,nan,nan,0.48102678571428575,nan,nan,nan,0.0,nan,3
1-5,4,0.4304273832965623,0.601620243886774,0.25474302230342744,8.233943555720899,0.48537852776744383,0.11930596891534391,0.28132233796296297,0.41838727678571425,0.4182270998677249,0.08364541997354498,0.08364541997354497,0.3104913776210072,0.4182270998677248,0.29951390647866716,0.4232597552910053,0.12374584881233819,0.16938858507503485,0.9591048488786486,336.0,-0.10253665123456791,nan,nan,nan,0.4182270998677249,nan,nan,nan,0.0,nan,3
1-5,5,0.41450140234604804,0.5894002826189327,0.2253975816952285,8.542960353629299,0.46606497789816875,0.11265087632275132,0.26220703125,0.3968279803240741,0.3739666005291005,0.07479332010582011,0.0747933201058201,0.258034489515971,0.37396660052910047,0.2687326740684453,0.37834821428571436,0.10961554021726894,0.14389584133707245,0.960178057435733,336.0,-0.12269345238095238,nan,nan,nan,0.3739666005291005,nan,nan,nan,0.0,nan,3
