pair,layer_id,source_rank,mean_target_rank,mean_absolute_displacement,count
1-3,0,30,26.18535052910053,4.502480158730159,96768
1-3,0,31,27.42721767526455,3.9184337797619047,96768
1-3,0,32,29.170035548941797,2.829964451058201,96768
1-3,1,1,6.069775132275132,5.069775132275132,96768
1-3,1,2,7.618096891534392,5.89145171957672,96768
1-3,1,3,8.730334408068783,6.315321180555555,96768
1-3,1,4,9.527395419973544,6.481161127645502,96768
1-3,1,5,10.251405423280424,6.597676917989418,96768
1-3,1,6,10.700510499338625,6.52549396494709,96768
1-3,1,7,11.38208912037037,6.603773974867725,96768
1-3,1,8,12.177062665343914,6.818225033068783,96768
1-3,1,9,12.615833746693122,6.814370453042328,96768
1-3,1,10,13.152013062169312,6.737330522486772,96768
1-3,1,11,13.761067708333334,6.751353753306878,96768
1-3,1,12,14.369295634920634,6.8128306878306875,96768
1-3,1,13,14.692894345238095,6.776971726190476,96768
1-3,1,14,15.138310185185185,6.786106977513228,96768
1-3,1,15,15.606336805555555,6.796006944444445,96768
1-3,1,16,16.16487888558201,6.831772900132275,96768
1-3,1,17,16.614273313492063,6.81568287037037,96768
1-3,1,18,17.134197255291006,6.767981150793651,96768
1-3,1,19,17.496672453703702,6.833043981481482,96768
1-3,1,20,18.067604993386244,6.842489252645502,96768
1-3,1,21,18.629174933862434,6.8412905092592595,96768
1-3,1,22,19.217055224867725,6.7927620701058204,96768
1-3,1,23,19.65612599206349,6.7962549603174605,96768
1-3,1,24,20.221602182539684,6.780443948412699,96768
1-3,1,25,20.926669973544975,6.647528108465608,96768
1-3,1,26,21.53095031415344,6.652416087962963,96768
1-3,1,27,22.007760830026456,6.679015790343915,96768
1-3,1,28,22.964182374338623,6.402633101851852,96768
1-3,1,29,23.724216683201057,6.257905505952381,96768
1-3,1,30,24.687520667989418,5.932002314814815,96768
1-3,1,31,25.817822007275133,5.479114996693122,96768
1-3,1,32,27.346870866402117,4.653129133597884,96768
1-3,2,1,7.728112599206349,6.728112599206349,96768
1-3,2,2,9.032066385582011,7.275307953042328,96768
1-3,2,3,10.103288277116402,7.620525380291006,96768
1-3,2,4,10.683046048280424,7.573691716269841,96768
1-3,2,5,11.54832175925926,7.774594907407407,96768
1-3,2,6,12.060257523148149,7.678974454365079,96768
1-3,2,7,12.565548528439153,7.615193039021164,96768
1-3,2,8,13.110449735449736,7.614211309523809,96768
1-3,2,9,13.47420634920635,7.528707837301587,96768
1-3,2,10,13.87572337962963,7.450334821428571,96768
1-3,2,11,14.156611689814815,7.312737681878307,96768
1-3,2,12,14.749307622354497,7.352544229497354,96768
